TALE	NN1	tale
is	VBZ	be
fact	NN1	fact
it	PNP	it
that	CJT	that
began	VVD	begin
<SEG>
any	DT0	any
of	PRF	of
gave	VVD	give
Cricket	NN1	cricket
being	VBG	be
the	AT0	the
five	CRD	five
sign	NN1	sign
minutes	NN2	minute
before	PRP	before
<SEG>
in	PRP	in
'll	VM0	will
I	PNP	i
.	SENT	.
,	PUN	,
me	PNP	i
and	CJC	and
Contradict	VVB	contradict
existence	NN1	existence
say	VVI	say
<SEG>
me	PNP	i
narrate	VVI	narrate
how	AVQ	how
exactly	AV0	exactly
.	SENT	.
happened	VVD	happen
Let	VVB	let
.	SENT	.
it	PNP	it
ten	CRD	ten
<SEG>
to	TO0	to
in	PRP	in
my	DPS	i
I	PNP	i
do	VDI	do
should	VM0	should
have	VHI	have
proceeded	VVN	proceed
,	PUN	,
so	AV0	so
<SEG>
consideration	NN1	consideration
first	ORD	first
,	PUN	,
word	NN1	word
plain	AJ0	plain
---	NN1	---
this	DT0	this
for	PRP	for
very	AV0	very
but	CJC	but
<SEG>
to	TO0	to
must	VM0	must
I	PNP	i
begin	VVI	begin
if	CJS	if
am	VBB	be
I	PNP	i
a	AT0	a
story	NN1	story
tell	VVI	tell
<SEG>
is	VBZ	be
how	AVQ	how
at	PRP	at
beginning	NN1	beginning|begin
;	PUN	;
the	AT0	the
[	PUL	[
104	CRD	104
and	CJC	and
]	PUR	]
<SEG>
begin	VVI	begin
the	AT0	the
at	PRP	at
beginning	VVG	begin|beginning
without	PRP	without
it	PNP	it
possible	AJ0	possible
beginning	NN1	beginning|begin
at	PRP	at
to	TO0	to
<SEG>
kettle	NN1	kettle
the	AT0	the
as	CJS	as
?	SENT	?
appeared	VVD	appear
there	EX0	there
a	AT0	a
It	PNP	it
if	CJS	if
were	VBD	be
<SEG>
of	PRF	of
sort	NN1	sort
match	NN1	match
of	PRF	of
,	PUN	,
or	CJC	or
you	PNP	you
trial	NN1	trial
,	PUN	,
skill	NN1	skill
<SEG>
the	AT0	the
must	VM0	must
Cricket	NN1	cricket
understand	VVI	understand
between	PRP	between
kettle	NN1	kettle
the	AT0	the
,	PUN	,
and	CJC	and
.	SENT	.
<SEG>
And	CJC	and
to	PRP	to
what	DTQ	what
and	CJC	and
led	VVD	lead
,	PUN	,
this	DT0	this
is	VBZ	be
it	PNP	it
how	AVQ	how
<SEG>
it	PNP	it
,	PUN	,
into	PRP	into
Peerybingle	NP0	peerybingle
out	AVP	out
about	AVP	about
.	SENT	.
Mrs.	NP0	mrs.
going	VVG	go|going
came	VVD	come
<SEG>
raw	AJ0	raw
the	AT0	the
,	PUN	,
and	CJC	and
wet	AJ0	wet
over	PRP	over
stones	NN2	stone
twilight	NN1	twilight
the	AT0	the
clicking	VVG	click|clicking
<SEG>
in	PRP	in
that	CJT	that
a	AT0	a
impressions	NN2	impression
rough	AJ0	rough
of	PRF	of
pattens	NN2	patten
innumerable	AJ0	innumerable
pair	NN0	pair
worked	VVD	work|worked
<SEG>
first	ORD	first
of	PRF	of
the	AT0	the
Euclid	NP0	euclid
yard	NN1	yard
all	AV0	all
about	PRP	about
in	PRP	in
proposition	NN1	proposition
the	AT0	the
<SEG>
kettle	NN1	kettle
Mrs.	NP0	mrs.
at	PRP	at
the	AT0	the
filled	VVD	fill|filled
Peerybingle	NP0	peerybingle
the	AT0	the
---	NN1	---
water-butt	NN1	water-butt
.	SENT	.
<SEG>
returning	VVG	return|returning
a	AT0	a
less	AV0	less
pattens	NN2	patten
good	AJ0	good
(	PUL	(
the	AT0	the
and	CJC	and
,	PUN	,
Presently	AV0	presently
<SEG>
,	PUN	,
Mrs.	NP0	mrs.
deal	NN1	deal
and	CJC	and
tall	AJ0	tall
were	VBD	be
less	AV0	less
for	CJS	for
they	PNP	they
,	PUN	,
<SEG>
kettle	NN1	kettle
,	PUN	,
she	PNP	she
)	PUR	)
Peerybingle	NP0	peerybingle
was	VBD	be
set	VVD	set
but	CJC	but
the	AT0	the
short	AJ0	short
<SEG>
her	DPS	she
lost	VVD	lose|lost
.	SENT	.
on	PRP	on
In	PRP	in
doing	VDG	do
which	DTQ	which
fire	NN1	fire
she	PNP	she
the	AT0	the
<SEG>
an	AT0	an
or	CJC	or
for	PRP	for
mislaid	VVD	mislay
,	PUN	,
instant	NN1	instant
for	PRP	for
it	PNP	it
temper	NN1	temper
;	PUN	;
<SEG>
and	CJC	and
water	NN1	water
that	DT0	that
cold	AJ0	cold
the	AT0	the
in	PRP	in
being	VBG	be
,	PUN	,
,	PUN	,
uncomfortably	AV0	uncomfortably
<SEG>
sleety	AJ0	sleety
of	PRF	of
it	PNP	it
state	NN1	state
sort	NN1	sort
slippy	AJ0	slippy
wherein	AVQ	wherein
,	PUN	,
,	PUN	,
slushy	AJ0	slushy
<SEG>
every	AT0	every
penetrate	VVI	penetrate
kind	NN1	kind
patten	VVB	patten
through	PRP	through
,	PUN	,
substance	NN1	substance
of	PRF	of
to	TO0	to
seems	VVZ	seem
<SEG>
of	PRF	of
had	VHD	have
included	VVD	include|included
Mrs.	NP0	mrs.
Peerybingle	NP0	peerybingle
laid	VVN	lay|laid
rings	NN2	ring
's	POS	's
---	NN1	---
hold	NN1	hold
<SEG>
splashed	VVD	splash|splashed
toes	NN2	toe
when	CJS	when
her	DPS	she
And	CJC	and
even	AV0	even
.	SENT	.
,	PUN	,
legs	NN2	leg
and	CJC	and
<SEG>
we	PNP	we
(	PUL	(
upon	PRP	upon
reason	NN1	reason
rather	AV0	rather
with	PRP	with
)	PUR	)
ourselves	PNX	ourselves
plume	VVB	plume
too	AV0	too
<SEG>
keep	VVB	keep
legs	NN2	leg
and	CJC	and
our	DPS	we
neat	AJ0	neat
ourselves	PNX	ourselves
,	PUN	,
particularly	AV0	particularly
point	NN1	point
in	PRP	in
<SEG>
,	PUN	,
we	PNP	we
find	VVB	find
for	PRP	for
this	DT0	this
,	PUN	,
the	AT0	the
moment	NN1	moment
of	PRF	of
stockings	NN2	stocking
<SEG>
,	PUN	,
to	TO0	to
,	PUN	,
the	AT0	the
Besides	AV0	besides
kettle	NN1	kettle
.	SENT	.
hard	AJ0	hard
bear	VVI	bear
was	VBD	be
<SEG>
to	TO0	to
obstinate	AJ0	obstinate
.	SENT	.
and	CJC	and
itself	PNX	itself
n't	XX0	not
would	VM0	would
It	PNP	it
allow	VVI	allow
aggravating	AJ0	aggravate|aggravating
<SEG>
bar	NN1	bar
would	VM0	would
top	AJ0	top
the	AT0	the
be	VBI	be
n't	XX0	not
;	PUN	;
on	PRP	on
it	PNP	it
adjusted	VVN	adjust|adjusted
<SEG>
to	PRP	to
hear	VVI	hear
coal	NN1	coal
accommodating	VVG	accommodate
kindly	AV0	kindly
knobs	NN2	knob
of	PRF	of
of	PRF	of
the	AT0	the
itself	PNX	itself
<SEG>
with	PRP	with
,	PUN	,
would	VM0	would
lean	VVI	lean
a	AT0	a
;	PUN	;
air	NN1	air
drunken	AJ0	drunken
forward	AV0	forward
it	PNP	it
<SEG>
a	AT0	a
,	PUN	,
dribble	NN1	dribble
Idiot	NN1	idiot
and	CJC	and
a	AT0	a
,	PUN	,
kettle	NN1	kettle
of	PRF	of
very	AJ0	very
<SEG>
and	CJC	and
quarrelsome	AJ0	quarrelsome
hearth	NN1	hearth
,	PUN	,
.	SENT	.
the	AT0	the
It	PNP	it
on	PRP	on
was	VBD	be
hissed	VVD	hiss
<SEG>
morosely	AV0	morosely
To	TO0	to
spluttered	VVD	splutter
at	PRP	at
the	AT0	the
and	CJC	and
.	SENT	.
up	AVP	up
fire	NN1	fire
sum	VVI	sum
<SEG>
resisting	VVG	resist|resisting
,	PUN	,
,	PUN	,
Peerybingle	NP0	peerybingle
fingers	NN2	finger
lid	NN1	lid
Mrs.	NP0	mrs.
the	AT0	the
all	AV0	all
's	POS	's
<SEG>
,	PUN	,
then	AV0	then
first	ORD	first
,	PUN	,
and	CJC	and
,	PUN	,
topsy-turvy	AJ0	topsy-turvy
of	PRF	of
turned	VVD	turn|turned
all	DT0	all
<SEG>
an	AT0	an
cause	NN1	cause
ingenious	AJ0	ingenious
a	AT0	a
of	PRF	of
pertinacity	NN1	pertinacity
deserving	AJ0	deserving
,	PUN	,
with	PRP	with
better	AJC	good
<SEG>
of	PRF	of
very	AJ0	very
dived	VVD	dive
down	AVP	down
to	PRP	to
in	PRP	in
---	NN1	---
the	AT0	the
sideways	AV0	sideways
bottom	NN1	bottom
<SEG>
of	PRF	of
.	SENT	.
hull	NN1	hull
kettle	NN1	kettle
the	AT0	the
Royal	AJ0	royal
the	AT0	the
And	CJC	and
the	AT0	the
George	NP0	george
<SEG>
coming	VVG	come|coming
never	AV0	never
the	AT0	the
out	AVP	out
made	VVN	make
resistance	NN1	resistance
monstrous	AJ0	monstrous
to	PRP	to
has	VHZ	have
half	DT0	half
<SEG>
that	DT0	that
of	PRF	of
the	AT0	the
lid	NN1	lid
the	AT0	the
employed	VVN	employ|employed
which	DTQ	which
water	NN1	water
kettle	NN1	kettle
of	PRF	of
<SEG>
before	CJS	before
.	SENT	.
it	PNP	it
again	AV0	again
she	PNP	she
Peerybingle	NP0	peerybingle
up	AVP	up
got	VVD	get
Mrs.	NP0	mrs.
against	PRP	against
<SEG>
even	AV0	even
and	CJC	and
sullen	AJ0	sullen
;	PUN	;
It	PNP	it
then	AV0	then
enough	AV0	enough
,	PUN	,
looked	VVD	look
pig-headed	AJ0	pig-headed
<SEG>
with	PRP	with
of	PRF	of
its	DPS	it
handle	NN1	handle
[	PUL	[
]	PUR	]
carrying	VVG	carry|carrying
105	CRD	105
an	AT0	an
air	NN1	air
<SEG>
and	CJC	and
pertly	AV0	pertly
spout	NN1	spout
defiance	NN1	defiance
cocking	VVG	cock
its	DPS	it
and	CJC	and
,	PUN	,
at	PRP	at
mockingly	AV0	mockingly
<SEG>
,	PUN	,
I	PNP	i
as	CJS	as
if	CJS	if
,	PUN	,
"	PUQ	"
Peerybingle	NP0	peerybingle
said	VVD	say|said
Mrs.	NP0	mrs.
it	PNP	it
<SEG>
induce	VVI	induce
shall	VM0	shall
wo	VM0	will
Nothing	PNI	nothing
!	SENT	!
boil	VVI	boil
me	PNP	i
"	PUQ	"
n't	XX0	not
.	SENT	.
<SEG>
dusted	VVD	dust
,	PUN	,
Mrs.	NP0	mrs.
,	PUN	,
But	CJC	but
Peerybingle	NP0	peerybingle
restored	AJ0	restored|restore
with	PRP	with
,	PUN	,
good-humour	NN1	good-humour
<SEG>
hands	NN2	hand
her	DPS	she
little	AJ0	little
sat	VVD	sit
other	NN1	other
against	PRP	against
and	CJC	and
each	DT0	each
,	PUN	,
chubby	AJ0	chubby
<SEG>
kettle	NN1	kettle
.	SENT	.
down	AVP	down
before	PRP	before
Meantime	AV0	meantime
jolly	AJ0	jolly
laughing	VVG	laugh|laughing
the	AT0	the
the	AT0	the
,	PUN	,
<SEG>
the	AT0	the
flashing	VVG	flash|flashing
gleaming	VVG	gleam|gleaming
uprose	NN1	uprose
and	CJC	and
fell	VVD	fall|fell
,	PUN	,
blaze	NN1	blaze
on	PRP	on
and	CJC	and
<SEG>
at	PRP	at
little	AJ0	little
of	PRF	of
,	PUN	,
Dutch	AJ0	dutch
Hay-maker	NN1	Hay-maker
clock	NN1	clock
top	NN1	top
the	AT0	the
the	AT0	the
<SEG>
might	VM0	might
thought	VVN	think
the	AT0	the
one	PNI	one
stock-still	AJ0	stock-still
before	PRP	before
until	CJS	until
have	VHI	have
stood	VVD	stand
he	PNP	he
<SEG>
Palace	NN1	palace
and	CJC	and
the	AT0	the
was	VBD	be
motion	NN1	motion
in	PRP	in
Moorish	AJ0	moorish
but	CJC	but
nothing	PNI	nothing
,	PUN	,
<SEG>
He	PNP	he
;	PUN	;
however	AV0	however
on	PRP	on
,	PUN	,
was	VBD	be
move	NN1	move
the	AT0	the
flame	NN1	flame
.	SENT	.
<SEG>
to	PRP	to
the	AT0	the
,	PUN	,
spasms	NN2	spasm
and	CJC	and
,	PUN	,
second	ORD	second
had	VHD	have
his	DPS	he
two	CRD	two
<SEG>
But	CJC	but
and	CJC	and
sufferings	NN2	suffering
when	CJS	when
his	DPS	he
all	DT0	all
.	SENT	.
the	AT0	the
regular	AJ0	regular
right	AJ0	right
<SEG>
clock	NN1	clock
behold	VVI	behold
to	TO0	to
;	PUN	;
strike	VVI	strike
were	VBD	be
going	VVG	go|going
frightful	AJ0	frightful
was	VBD	be
to	TO0	to
<SEG>
out	AVP	out
when	CJS	when
in	PRP	in
of	PRF	of
Cuckoo	NN1	cuckoo
a	AT0	a
and	CJC	and
trap-door	NN1	trap-door
looked	VVD	look
a	AT0	a
<SEG>
and	CJC	and
times	NN2	time
,	PUN	,
the	AT0	the
it	PNP	it
,	PUN	,
note	NN1	note
Palace	NN1	palace
six	CRD	six
gave	VVD	give
<SEG>
spectral	AJ0	spectral
a	AT0	a
him	PNP	he
each	DT0	each
time	NN1	time
,	PUN	,
,	PUN	,
voice	NN1	voice
shook	VVD	shake
like	PRP	like
<SEG>
something	PNI	something
like	PRP	like
plucking	VVG	pluck|plucking
his	DPS	he
or	CJC	or
at	PRP	at
legs	NN2	leg
a	AT0	a
wiry	AJ0	wiry
---	NN1	---
<SEG>
not	XX0	not
was	VBD	be
.	SENT	.
a	AT0	a
violent	AJ0	violent
commotion	NN1	commotion
It	PNP	it
until	PRP	until
a	AT0	a
and	CJC	and
<SEG>
below	AV0	below
the	AT0	the
ropes	NN2	rope
among	PRP	among
and	CJC	and
whirring	AJ0	whirring|whir
weights	NN2	weight
noise	NN1	noise
him	PNP	he
had	VHD	have
<SEG>
subsided	VVN	subside
this	DT0	this
quite	AV0	quite
.	SENT	.
again	AV0	again
Hay-maker	NN1	Hay-maker
terrified	AJ0	terrified|terrify
became	VVD	become
himself	PNX	himself
that	CJT	that
<SEG>
rattling	AJ0	rattling|rattle
without	PRP	without
was	VBD	be
;	PUN	;
these	DT0	these
he	PNP	he
Nor	CJC	nor
startled	AJ0	startled|startle
reason	NN1	reason
for	PRP	for
<SEG>
clocks	NN2	clock
,	PUN	,
bony	AJ0	bony
skeletons	NN2	skeleton
very	AV0	very
are	VBB	be
of	PRF	of
disconcerting	AJ0	disconcerting|disconcert
in	PRP	in
their	DPS	they
<SEG>
I	PNP	i
any	DT0	any
wonder	VVB	wonder
how	AVQ	how
and	CJC	and
,	PUN	,
set	NN1	set
very	AV0	very
operation	NN1	operation
much	AV0	much
<SEG>
,	PUN	,
most	DT0	most
all	DT0	all
men	NN2	man
,	PUN	,
how	AVQ	how
of	PRF	of
but	CJC	but
of	PRF	of
Dutchmen	NN2	dutchman
<SEG>
.	SENT	.
can	VM0	can
liking	NN1	liking|like
had	VHN	have
There	EX0	there
invent	VVI	invent
them	PNP	they
to	TO0	to
a	AT0	a
have	VHI	have
<SEG>
belief	NN1	belief
broad	AJ0	broad
and	CJC	and
that	CJT	that
popular	AJ0	popular
Dutchmen	NN2	dutchman
is	VBZ	be
cases	NN2	case
love	VVB	love
a	AT0	a
<SEG>
;	PUN	;
own	DT0	own
much	DT0	much
and	CJC	and
their	DPS	they
lower	AJC	low
selves	NN2	self
they	PNP	they
clothing	NN1	clothing|clthe
for	PRP	for
<SEG>
to	TO0	to
better	AV0	well
than	CJS	than
their	DPS	they
so	AV0	so
very	AV0	very
know	VVI	know
leave	VVI	leave
might	VM0	might
clocks	NN2	clock
<SEG>
it	PNP	it
lank	NN1	lank
was	VBD	be
Now	AV0	now
,	PUN	,
surely	AV0	surely
unprotected	AJ0	unprotected
.	SENT	.
and	CJC	and
,	PUN	,
<SEG>
observe	VVB	observe
spend	VVI	spend
to	TO0	to
,	PUN	,
you	PNP	you
kettle	NN1	kettle
the	AT0	the
that	CJT	that
began	VVD	begin
the	AT0	the
<SEG>
kettle	NN1	kettle
the	AT0	the
Now	AV0	now
was	VBD	be
evening	NN1	evening
it	PNP	it
growing	VVG	grow|growing
.	SENT	.
,	PUN	,
that	CJT	that
<SEG>
in	PRP	in
began	VVD	begin
gurglings	NN2	gurgling
,	PUN	,
to	TO0	to
and	CJC	and
have	VHI	have
musical	AJ0	musical
irrepressible	AJ0	irrepressible
mellow	AJ0	mellow
<SEG>
vocal	AJ0	vocal
in	PRP	in
snorts	NN2	snort
and	CJC	and
throat	NN1	throat
,	PUN	,
short	AJ0	short
its	DPS	it
indulge	VVI	indulge
to	TO0	to
<SEG>
which	DTQ	which
,	PUN	,
,	PUN	,
it	PNP	it
bud	NN1	bud
if	CJS	if
in	PRP	in
as	CJS	as
checked	VVD	check|checked
the	AT0	the
<SEG>
made	VVN	make
up	AVP	up
its	DPS	it
yet	AV0	yet
to	TO0	to
quite	AV0	quite
it	PNP	it
had	VHD	have
n't	XX0	not
mind	NN1	mind
<SEG>
it	PNP	it
after	PRP	after
good	AJ0	good
that	CJT	that
be	VBI	be
Now	AV0	now
was	VBD	be
.	SENT	.
company	NN1	company
two	CRD	two
<SEG>
its	DPS	it
attempts	NN2	attempt
to	TO0	to
sentiments	NN2	sentiment
vain	AJ0	vain
three	CRD	three
stifle	VVI	stifle
such	DT0	such
or	CJC	or
convivial	AJ0	convivial
<SEG>
all	DT0	all
all	DT0	all
,	PUN	,
threw	VVD	throw|threw
,	PUN	,
,	PUN	,
moroseness	NN1	moroseness
reserve	NN1	reserve
it	PNP	it
off	AVP	off
<SEG>
a	AT0	a
[	PUL	[
and	CJC	and
into	PRP	into
of	PRF	of
burst	VVD	burst
stream	NN1	stream
]	PUR	]
song	NN1	song
106	CRD	106
<SEG>
yet	AV0	yet
hilarious	AJ0	hilarious
maudlin	AJ0	maudlin
cosy	AJ0	cosy
as	CJS	as
formed	VVD	form
and	CJC	and
nightingale	NN1	nightingale
so	AV0	so
never	AV0	never
<SEG>
plain	AJ0	plain
of	PRF	of
the	AT0	the
idea	NN1	idea
,	PUN	,
too	AV0	too
.	SENT	.
So	AV0	so
!	SENT	!
least	DT0	least
<SEG>
a	AT0	a
it	PNP	it
you	PNP	you
understood	VVN	understand|understood
like	PRP	like
you	PNP	you
might	VM0	might
have	VHI	have
Bless	VVB	bless
,	PUN	,
<SEG>
I	PNP	i
than	CJS	than
---	NN1	---
some	DT0	some
and	CJC	and
better	AJC	good
book	NN1	book
you	PNP	you
could	VM0	could
books	NN2	book
<SEG>
forth	AV0	forth
warm	AJ0	warm
name	VVI	name
gushing	VVG	gush
With	PRP	with
perhaps	AV0	perhaps
.	SENT	.
,	PUN	,
its	DPS	it
breath	NN1	breath
<SEG>
a	AT0	a
light	AJ0	light
gracefully	AV0	gracefully
cloud	NN1	cloud
and	CJC	and
merrily	AV0	merrily
which	DTQ	which
in	PRP	in
a	AT0	a
ascended	VVD	ascend
<SEG>
about	PRP	about
hung	VVN	hang|hung
as	PRP	as
chimney-corner	NN1	chimney-corner
the	AT0	the
its	DPS	it
then	AV0	then
,	PUN	,
few	DT0	few
feet	NN2	foot
<SEG>
its	DPS	it
own	DT0	own
Heaven	NN1	heaven
that	DT0	that
with	PRP	with
domestic	AJ0	domestic
it	PNP	it
song	NN1	song
trolled	VVD	troll
,	PUN	,
<SEG>
that	CJT	that
body	NN1	body
iron	NN1	iron
,	PUN	,
strong	AJ0	strong
its	DPS	it
hummed	VVD	hum
cheerfulness	NN1	cheerfulness
of	PRF	of
energy	NN1	energy
<SEG>
the	AT0	the
and	CJC	and
;	PUN	;
itself	PNX	itself
fire	NN1	fire
the	AT0	the
lid	NN1	lid
and	CJC	and
stirred	VVD	stir
upon	PRP	upon
<SEG>
the	AT0	the
---	NN1	---
the	AT0	the
,	PUN	,
rebellious	AJ0	rebellious
is	VBZ	be
influence	NN1	influence
such	DT0	such
recently	AV0	recently
lid	NN1	lid
<SEG>
of	PRF	of
performed	VVD	perform
a	AT0	a
---	NN1	---
of	PRF	of
sort	NN1	sort
example	NN1	example
bright	AJ0	bright
jig	NN1	jig
a	AT0	a
<SEG>
and	CJC	and
,	PUN	,
like	PRP	like
deaf	AJ0	deaf
dumb	AJ0	dumb
young	AJ0	young
a	AT0	a
clattered	VVD	clatter
and	CJC	and
cymbal	NN1	cymbal
<SEG>
known	VVN	know|known
of	PRF	of
brother	NN1	brother
that	CJT	that
the	AT0	the
never	AV0	never
its	DPS	it
use	NN1	use
twin	AJ0	twin
had	VHD	have
<SEG>
the	AT0	the
's	POS	's
That	DT0	that
.	SENT	.
was	VBD	be
of	PRF	of
kettle	NN1	kettle
this	DT0	this
a	AT0	a
song	NN1	song
<SEG>
somebody	PNI	somebody
song	NN1	song
doors	NN2	door
of	PRF	of
welcome	VVB	welcome
and	CJC	and
to	PRP	to
of	PRF	of
invitation	NN1	invitation
out	AVP	out
<SEG>
to	PRP	to
:	PUN	:
at	PRP	at
moment	NN1	moment
coming	VVG	come|coming
on	AVP	on
that	DT0	that
towards	PRP	towards
the	AT0	the
somebody	PNI	somebody
<SEG>
and	CJC	and
there	EX0	there
small	AJ0	small
fire	NN1	fire
is	VBZ	be
the	AT0	the
:	PUN	:
snug	AJ0	snug
home	NN1	home
crisp	AJ0	crisp
<SEG>
Mrs.	NP0	mrs.
Peerybingle	NP0	peerybingle
.	SENT	.
doubt	NN1	doubt
no	AT0	no
whatever	DTQ	whatever
perfectly	AV0	perfectly
knew	VVD	know
,	PUN	,
it	PNP	it
<SEG>
.	SENT	.
It	PNP	it
's	VBZ	be
hearth	NN1	hearth
sat	VVD	sit
musing	VVG	muse
the	AT0	the
as	CJS	as
she	PNP	she
before	PRP	before
<SEG>
a	AT0	a
the	AT0	the
,	PUN	,
sang	VVD	sing
and	CJC	and
dark	AJ0	dark
kettle	NN1	kettle
night	NN1	night
the	AT0	the
,	PUN	,
<SEG>
by	PRP	by
lying	VVG	lie|lying
are	VBB	be
leaves	NN2	leaf|leave
way	NN1	way
the	AT0	the
rotten	AJ0	rotten
,	PUN	,
;	PUN	;
and	CJC	and
<SEG>
,	PUN	,
all	DT0	all
and	CJC	and
above	AV0	above
is	VBZ	be
mist	NN1	mist
and	CJC	and
,	PUN	,
,	PUN	,
darkness	NN1	darkness
<SEG>
below	AV0	below
mire	NN1	mire
and	CJC	and
and	CJC	and
there	EX0	there
,	PUN	,
;	PUN	;
is	VBZ	be
all	DT0	all
clay	NN1	clay
<SEG>
's	VBZ	be
relief	NN1	relief
in	PRP	in
all	DT0	all
the	AT0	the
and	CJC	and
sad	AJ0	sad
murky	AJ0	murky
only	AV0	only
one	CRD	one
<SEG>
it	PNP	it
I	PNP	i
;	PUN	;
is	VBZ	be
do	VDB	do
know	VVI	know
n't	XX0	not
that	CJT	that
and	CJC	and
air	NN1	air
<SEG>
it	PNP	it
but	CJC	but
one	PNI	one
for	CJS	for
a	AT0	a
's	VBZ	be
;	PUN	;
,	PUN	,
glare	NN1	glare
nothing	PNI	nothing
<SEG>
and	CJC	and
crimson	NN1	crimson
angry	AJ0	angry
where	AVQ	where
the	AT0	the
deep	AJ0	deep
,	PUN	,
of	PRF	of
sun	NN1	sun
and	CJC	and
<SEG>
for	PRP	for
upon	PRP	upon
wind	NN1	wind
the	AT0	the
set	VVB	set
brand	NN1	brand
;	PUN	;
together	AV0	together
a	AT0	a
clouds	NN2	cloud
<SEG>
widest	AJS	wide
guilty	AJ0	guilty
the	AT0	the
open	AJ0	open
;	PUN	;
and	CJC	and
weather	NN1	weather
being	VBG	be
such	DT0	such
of	PRF	of
<SEG>
is	VBZ	be
long	AJ0	long
a	AT0	a
and	CJC	and
streak	NN1	streak
dull	AJ0	dull
black	AJ0	black
;	PUN	;
of	PRF	of
country	NN1	country
<SEG>
hoar	NN1	hoar
and	CJC	and
there	EX0	there
's	VBZ	be
frost	NN1	frost
finger-post	NN1	finger-post
thaw	VVB	thaw
the	AT0	the
