	Maupassant_UneVie_0	Maupassant_UneVie_1	Maupassant_UneVie_2	Maupassant_UneVie_3	Maupassant_UneVie_4	Maupassant_UneVie_5	Maupassant_UneVie_6	Maupassant_UneVie_7	Maupassant_UneVie_8	Maupassant_UneVie_9	Maupassant_UneVie_10	Maupassant_UneVie_11	Maupassant_UneVie_12	Maupassant_UneVie_13	Maupassant_UneVie_14	Maupassant_UneVie_15	Maupassant_UneVie_16	Maupassant_UneVie_17	Maupassant_UneVie_18	Maupassant_UneVie_19	Maupassant_UneVie_20	Maupassant_UneVie_21	Maupassant_UneVie_22	Maupassant_UneVie_23	Maupassant_UneVie_24	Maupassant_UneVie_25	Maupassant_UneVie_26	Maupassant_UneVie_27	Maupassant_UneVie_28	Maupassant_UneVie_29	Maupassant_UneVie_30	Maupassant_UneVie_31	Maupassant_UneVie_32	Maupassant_UneVie_33	Maupassant_UneVie_34	Maupassant_UneVie_35	Maupassant_UneVie_36	Maupassant_UneVie_37	Maupassant_UneVie_38	Maupassant_UneVie_39	Maupassant_UneVie_40	Maupassant_UneVie_41	Maupassant_UneVie_42	Maupassant_UneVie_43	Maupassant_UneVie_44	Maupassant_UneVie_45	Maupassant_UneVie_46	Maupassant_UneVie_47	Maupassant_UneVie_48	Maupassant_UneVie_49	Maupassant_UneVie_50	Maupassant_UneVie_51	Maupassant_UneVie_52	Maupassant_UneVie_53	Maupassant_UneVie_54	Maupassant_UneVie_55	Maupassant_UneVie_56	Maupassant_UneVie_57	Maupassant_UneVie_58	Maupassant_UneVie_59	Maupassant_UneVie_60	Maupassant_UneVie_61	Maupassant_UneVie_62	Maupassant_UneVie_63	Maupassant_UneVie_64	Maupassant_UneVie_65	Maupassant_UneVie_66	Maupassant_UneVie_67	Maupassant_UneVie_68	Maupassant_UneVie_69	Maupassant_UneVie_70	Maupassant_UneVie_71	Maupassant_UneVie_72	Maupassant_UneVie_73	Maupassant_UneVie_74	Maupassant_UneVie_75	Maupassant_UneVie_76	Maupassant_UneVie_77	Maupassant_UneVie_78	Maupassant_UneVie_79	Maupassant_UneVie_80	Maupassant_UneVie_81	Maupassant_UneVie_82	Maupassant_UneVie_83	Maupassant_UneVie_84	Maupassant_UneVie_85	Maupassant_UneVie_86	Maupassant_UneVie_87	Maupassant_UneVie_88	Maupassant_UneVie_89	Maupassant_UneVie_90	Maupassant_UneVie_91	Maupassant_UneVie_92	Maupassant_UneVie_93	Maupassant_UneVie_94	Maupassant_UneVie_95	Maupassant_UneVie_sum
un_DET:ART_un	13.0	14.0	21.0	20.0	15.0	11.0	18.0	12.0	9.0	16.0	13.0	15.0	8.0	13.0	12.0	7.0	11.0	5.0	13.0	11.0	12.0	8.0	9.0	14.0	15.0	19.0	18.0	18.0	5.0	6.0	12.0	15.0	14.0	17.0	8.0	8.0	7.0	16.0	11.0	4.0	8.0	6.0	4.0	6.0	10.0	13.0	12.0	13.0	11.0	13.0	7.0	22.0	12.0	7.0	10.0	12.0	5.0	7.0	10.0	11.0	9.0	14.0	8.0	11.0	14.0	10.0	5.0	9.0	9.0	11.0	12.0	9.0	7.0	8.0	8.0	15.0	13.0	15.0	8.0	11.0	6.0	7.0	11.0	7.0	10.0	15.0	9.0	4.0	8.0	14.0	14.0	10.0	16.0	13.0	9.0	1.0	1052.0
il_PRO:PER_il	10.0	3.0	2.0	2.0	7.0	3.0	7.0	7.0	14.0	14.0	14.0	5.0	7.0	5.0	8.0	9.0	0.0	4.0	3.0	9.0	12.0	26.0	17.0	3.0	8.0	2.0	11.0	17.0	5.0	7.0	7.0	22.0	12.0	3.0	13.0	3.0	4.0	16.0	10.0	7.0	4.0	5.0	12.0	20.0	17.0	9.0	11.0	2.0	14.0	17.0	17.0	8.0	10.0	4.0	5.0	3.0	4.0	12.0	13.0	5.0	3.0	10.0	13.0	14.0	28.0	23.0	18.0	26.0	22.0	15.0	28.0	22.0	11.0	32.0	12.0	13.0	24.0	22.0	11.0	15.0	3.0	5.0	18.0	6.0	8.0	6.0	15.0	4.0	5.0	6.0	11.0	5.0	5.0	3.0	3.0	0.0	995.0
d'_PRP_de	15.0	12.0	15.0	15.0	16.0	14.0	13.0	11.0	9.0	7.0	21.0	9.0	12.0	13.0	18.0	6.0	11.0	7.0	7.0	6.0	4.0	11.0	9.0	9.0	8.0	21.0	9.0	6.0	7.0	17.0	10.0	8.0	11.0	12.0	9.0	10.0	10.0	6.0	7.0	5.0	7.0	4.0	6.0	10.0	9.0	8.0	7.0	10.0	13.0	8.0	14.0	15.0	9.0	6.0	14.0	8.0	11.0	12.0	10.0	8.0	7.0	12.0	13.0	4.0	9.0	9.0	6.0	4.0	12.0	12.0	13.0	18.0	5.0	7.0	4.0	10.0	9.0	9.0	10.0	14.0	7.0	11.0	5.0	6.0	9.0	9.0	8.0	8.0	9.0	9.0	8.0	13.0	14.0	8.0	12.0	0.0	938.0
l'_DET:ART_le	13.0	10.0	9.0	7.0	18.0	15.0	12.0	15.0	11.0	13.0	16.0	10.0	14.0	12.0	18.0	6.0	9.0	8.0	16.0	11.0	7.0	4.0	8.0	18.0	11.0	8.0	10.0	11.0	5.0	10.0	6.0	8.0	9.0	11.0	6.0	12.0	7.0	6.0	9.0	8.0	10.0	0.0	1.0	4.0	4.0	13.0	10.0	8.0	4.0	5.0	13.0	11.0	14.0	7.0	12.0	8.0	5.0	5.0	10.0	8.0	11.0	7.0	6.0	4.0	6.0	15.0	21.0	13.0	7.0	13.0	7.0	9.0	14.0	17.0	12.0	5.0	2.0	9.0	10.0	11.0	5.0	2.0	7.0	8.0	7.0	7.0	9.0	10.0	6.0	5.0	4.0	7.0	18.0	5.0	13.0	7.0	888.0
une_DET:ART_un	10.0	10.0	12.0	14.0	7.0	12.0	14.0	8.0	8.0	10.0	9.0	14.0	11.0	13.0	12.0	10.0	14.0	7.0	6.0	9.0	4.0	11.0	9.0	12.0	10.0	12.0	12.0	5.0	7.0	8.0	9.0	6.0	9.0	6.0	2.0	7.0	8.0	7.0	8.0	4.0	15.0	10.0	7.0	8.0	9.0	8.0	12.0	18.0	11.0	5.0	2.0	17.0	7.0	11.0	14.0	8.0	15.0	7.0	6.0	11.0	12.0	9.0	6.0	6.0	9.0	9.0	5.0	9.0	10.0	10.0	14.0	14.0	10.0	6.0	3.0	3.0	10.0	6.0	11.0	12.0	6.0	3.0	4.0	5.0	12.0	7.0	12.0	13.0	12.0	18.0	8.0	9.0	13.0	9.0	8.0	7.0	887.0
;_PUN_;	3.0	13.0	14.0	5.0	8.0	9.0	7.0	10.0	7.0	5.0	9.0	12.0	14.0	22.0	7.0	9.0	10.0	9.0	15.0	6.0	11.0	9.0	7.0	11.0	2.0	3.0	13.0	7.0	10.0	11.0	9.0	9.0	8.0	4.0	3.0	3.0	5.0	14.0	12.0	16.0	18.0	12.0	8.0	14.0	6.0	7.0	8.0	10.0	10.0	5.0	7.0	4.0	13.0	9.0	9.0	14.0	12.0	5.0	4.0	10.0	9.0	6.0	16.0	13.0	8.0	10.0	10.0	5.0	15.0	5.0	13.0	12.0	9.0	8.0	9.0	8.0	10.0	6.0	6.0	8.0	2.0	3.0	8.0	5.0	6.0	9.0	4.0	2.0	6.0	14.0	4.0	10.0	7.0	13.0	6.0	5.0	836.0
des_PRP:det_du	13.0	14.0	14.0	18.0	18.0	21.0	21.0	14.0	14.0	10.0	10.0	6.0	19.0	2.0	7.0	6.0	9.0	5.0	6.0	6.0	6.0	5.0	5.0	9.0	9.0	30.0	7.0	6.0	6.0	11.0	11.0	12.0	14.0	14.0	10.0	9.0	7.0	2.0	2.0	13.0	7.0	5.0	2.0	1.0	2.0	1.0	7.0	4.0	4.0	2.0	3.0	5.0	8.0	13.0	15.0	5.0	6.0	5.0	3.0	10.0	5.0	9.0	4.0	5.0	3.0	5.0	17.0	5.0	8.0	6.0	4.0	5.0	11.0	11.0	10.0	9.0	6.0	7.0	2.0	10.0	2.0	6.0	5.0	8.0	12.0	5.0	3.0	7.0	7.0	10.0	4.0	6.0	13.0	14.0	6.0	9.0	788.0
se_PRO:PER_se	2.0	11.0	10.0	10.0	7.0	8.0	8.0	4.0	6.0	7.0	8.0	15.0	6.0	9.0	7.0	7.0	4.0	7.0	14.0	15.0	9.0	13.0	7.0	6.0	6.0	5.0	10.0	5.0	9.0	10.0	10.0	11.0	7.0	8.0	14.0	3.0	6.0	2.0	10.0	12.0	12.0	11.0	3.0	4.0	3.0	5.0	5.0	4.0	12.0	4.0	11.0	7.0	7.0	6.0	13.0	6.0	5.0	9.0	12.0	10.0	10.0	8.0	12.0	13.0	11.0	6.0	16.0	2.0	10.0	7.0	12.0	6.0	8.0	6.0	6.0	8.0	7.0	7.0	6.0	5.0	10.0	7.0	4.0	7.0	9.0	11.0	16.0	2.0	9.0	14.0	13.0	7.0	10.0	5.0	5.0	1.0	773.0
«_PUN:cit_«	5.0	4.0	5.0	0.0	1.0	0.0	1.0	9.0	7.0	6.0	8.0	6.0	10.0	6.0	4.0	10.0	9.0	15.0	4.0	8.0	6.0	11.0	11.0	4.0	9.0	5.0	6.0	20.0	9.0	3.0	2.0	1.0	4.0	1.0	12.0	7.0	11.0	20.0	11.0	7.0	5.0	5.0	15.0	17.0	17.0	9.0	7.0	3.0	3.0	12.0	20.0	7.0	7.0	6.0	3.0	2.0	12.0	8.0	15.0	8.0	10.0	10.0	3.0	20.0	17.0	11.0	4.0	11.0	13.0	6.0	3.0	12.0	3.0	5.0	11.0	8.0	6.0	12.0	7.0	9.0	14.0	14.0	11.0	4.0	5.0	5.0	3.0	14.0	8.0	8.0	5.0	9.0	1.0	6.0	9.0	7.0	763.0
dans_PRP_dans	6.0	8.0	9.0	10.0	12.0	13.0	13.0	10.0	10.0	6.0	8.0	12.0	7.0	5.0	10.0	11.0	20.0	7.0	9.0	10.0	10.0	8.0	9.0	13.0	10.0	7.0	10.0	4.0	6.0	9.0	2.0	12.0	8.0	7.0	6.0	7.0	3.0	5.0	7.0	4.0	14.0	4.0	7.0	8.0	3.0	12.0	5.0	8.0	14.0	2.0	2.0	5.0	13.0	6.0	6.0	3.0	5.0	4.0	6.0	10.0	10.0	9.0	10.0	6.0	5.0	5.0	6.0	7.0	3.0	8.0	7.0	5.0	15.0	5.0	2.0	14.0	6.0	3.0	3.0	6.0	8.0	3.0	7.0	8.0	6.0	5.0	8.0	7.0	9.0	12.0	4.0	10.0	11.0	8.0	7.0	4.0	732.0
»_PUN:cit_»	5.0	4.0	5.0	0.0	1.0	0.0	1.0	9.0	7.0	6.0	8.0	5.0	10.0	6.0	4.0	10.0	9.0	14.0	5.0	8.0	6.0	11.0	11.0	4.0	9.0	5.0	6.0	15.0	9.0	3.0	2.0	1.0	4.0	1.0	12.0	7.0	10.0	19.0	12.0	7.0	5.0	4.0	14.0	16.0	17.0	8.0	7.0	3.0	3.0	12.0	19.0	8.0	7.0	6.0	3.0	2.0	11.0	9.0	14.0	8.0	9.0	11.0	3.0	19.0	14.0	11.0	4.0	11.0	13.0	6.0	3.0	12.0	3.0	4.0	12.0	8.0	5.0	13.0	5.0	7.0	13.0	14.0	10.0	5.0	5.0	5.0	3.0	7.0	8.0	8.0	2.0	10.0	1.0	5.0	7.0	7.0	730.0
s'_PRO:PER_se	3.0	11.0	11.0	5.0	6.0	7.0	5.0	5.0	13.0	4.0	9.0	7.0	8.0	5.0	10.0	3.0	11.0	10.0	4.0	4.0	6.0	4.0	6.0	7.0	5.0	5.0	8.0	2.0	6.0	8.0	10.0	11.0	10.0	9.0	6.0	7.0	5.0	12.0	4.0	8.0	10.0	10.0	8.0	6.0	3.0	6.0	6.0	8.0	11.0	9.0	8.0	4.0	4.0	5.0	5.0	5.0	7.0	10.0	11.0	6.0	5.0	7.0	7.0	7.0	9.0	6.0	10.0	5.0	10.0	5.0	13.0	8.0	4.0	3.0	5.0	6.0	8.0	8.0	5.0	6.0	4.0	10.0	7.0	4.0	8.0	9.0	13.0	1.0	4.0	14.0	13.0	15.0	4.0	10.0	6.0	1.0	682.0
:_PUN_:	5.0	3.0	5.0	0.0	1.0	0.0	1.0	1.0	7.0	3.0	7.0	6.0	9.0	6.0	3.0	11.0	2.0	12.0	5.0	4.0	4.0	12.0	9.0	5.0	8.0	3.0	7.0	12.0	5.0	3.0	3.0	2.0	3.0	0.0	11.0	6.0	11.0	20.0	10.0	5.0	4.0	5.0	14.0	14.0	13.0	9.0	5.0	3.0	4.0	13.0	20.0	5.0	7.0	6.0	4.0	2.0	7.0	5.0	13.0	7.0	3.0	8.0	4.0	15.0	15.0	12.0	3.0	9.0	13.0	5.0	2.0	13.0	1.0	6.0	12.0	6.0	5.0	9.0	5.0	4.0	14.0	14.0	10.0	4.0	3.0	3.0	3.0	5.0	8.0	6.0	4.0	9.0	1.0	5.0	8.0	6.0	643.0
son_DET:POS_son	11.0	8.0	0.0	4.0	11.0	9.0	5.0	10.0	5.0	4.0	9.0	6.0	1.0	9.0	9.0	7.0	3.0	5.0	7.0	2.0	5.0	7.0	4.0	5.0	10.0	2.0	6.0	6.0	4.0	3.0	8.0	12.0	6.0	3.0	8.0	7.0	4.0	7.0	8.0	8.0	8.0	4.0	7.0	4.0	3.0	7.0	6.0	11.0	15.0	12.0	4.0	1.0	5.0	6.0	7.0	9.0	9.0	5.0	2.0	7.0	7.0	7.0	10.0	6.0	4.0	8.0	6.0	6.0	5.0	5.0	5.0	7.0	7.0	7.0	6.0	3.0	11.0	10.0	7.0	0.0	3.0	5.0	2.0	6.0	6.0	9.0	7.0	8.0	5.0	2.0	6.0	7.0	7.0	5.0	11.0	3.0	599.0
en_PRP_en	5.0	6.0	11.0	12.0	7.0	8.0	10.0	5.0	7.0	6.0	4.0	5.0	6.0	9.0	13.0	5.0	2.0	1.0	5.0	12.0	11.0	7.0	4.0	4.0	8.0	7.0	6.0	3.0	11.0	7.0	7.0	3.0	3.0	10.0	5.0	5.0	9.0	4.0	7.0	9.0	4.0	4.0	6.0	0.0	2.0	3.0	6.0	6.0	3.0	5.0	8.0	9.0	5.0	10.0	8.0	6.0	4.0	7.0	6.0	4.0	5.0	3.0	7.0	2.0	3.0	5.0	12.0	7.0	6.0	5.0	4.0	2.0	11.0	7.0	11.0	4.0	8.0	11.0	7.0	6.0	3.0	3.0	7.0	5.0	5.0	10.0	7.0	1.0	4.0	7.0	3.0	5.0	9.0	2.0	7.0	7.0	586.0
ne_ADV_ne	3.0	3.0	4.0	0.0	3.0	0.0	1.0	2.0	3.0	3.0	4.0	4.0	4.0	3.0	2.0	7.0	17.0	4.0	9.0	4.0	11.0	8.0	5.0	3.0	7.0	5.0	2.0	8.0	7.0	3.0	5.0	5.0	4.0	3.0	7.0	7.0	6.0	15.0	10.0	8.0	7.0	12.0	14.0	7.0	6.0	5.0	8.0	1.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	6.0	8.0	4.0	3.0	9.0	2.0	1.0	3.0	9.0	11.0	14.0	7.0	8.0	6.0	7.0	5.0	6.0	8.0	12.0	6.0	5.0	6.0	11.0	10.0	10.0	7.0	7.0	9.0	10.0	3.0	7.0	3.0	15.0	5.0	6.0	13.0	4.0	2.0	2.0	9.0	1.0	581.0
qui_PRO:REL_qui	2.0	4.0	5.0	8.0	9.0	6.0	5.0	5.0	7.0	7.0	6.0	7.0	4.0	4.0	8.0	6.0	11.0	6.0	6.0	5.0	7.0	2.0	7.0	7.0	4.0	2.0	3.0	6.0	3.0	6.0	8.0	8.0	6.0	5.0	9.0	8.0	4.0	7.0	1.0	3.0	2.0	3.0	3.0	1.0	11.0	7.0	2.0	10.0	7.0	11.0	7.0	9.0	7.0	4.0	6.0	1.0	8.0	5.0	2.0	3.0	5.0	9.0	7.0	4.0	4.0	4.0	7.0	8.0	8.0	5.0	7.0	4.0	7.0	7.0	3.0	4.0	7.0	1.0	8.0	7.0	6.0	7.0	7.0	18.0	5.0	4.0	10.0	8.0	8.0	1.0	5.0	7.0	2.0	5.0	5.0	4.0	554.0
sa_DET:POS_son	8.0	10.0	3.0	7.0	7.0	4.0	2.0	9.0	8.0	2.0	4.0	3.0	2.0	12.0	5.0	3.0	9.0	8.0	8.0	2.0	17.0	15.0	9.0	3.0	2.0	4.0	3.0	5.0	4.0	2.0	7.0	8.0	13.0	5.0	4.0	3.0	6.0	3.0	10.0	5.0	4.0	10.0	4.0	2.0	4.0	5.0	4.0	3.0	7.0	1.0	3.0	5.0	6.0	3.0	8.0	5.0	7.0	9.0	4.0	4.0	4.0	4.0	10.0	2.0	3.0	8.0	3.0	4.0	2.0	9.0	5.0	3.0	8.0	5.0	5.0	4.0	5.0	3.0	5.0	5.0	6.0	5.0	3.0	8.0	7.0	6.0	5.0	1.0	7.0	4.0	10.0	6.0	7.0	11.0	6.0	4.0	535.0
