	Stolz_MaisonRoulante_0	Stolz_MaisonRoulante_1	Stolz_MaisonRoulante_2	Stolz_MaisonRoulante_3	Stolz_MaisonRoulante_4	Stolz_MaisonRoulante_5	Stolz_MaisonRoulante_6	Stolz_MaisonRoulante_7	Stolz_MaisonRoulante_8	Stolz_MaisonRoulante_9	Stolz_MaisonRoulante_10	Stolz_MaisonRoulante_11	Stolz_MaisonRoulante_12	Stolz_MaisonRoulante_13	Stolz_MaisonRoulante_14	Stolz_MaisonRoulante_15	Stolz_MaisonRoulante_16	Stolz_MaisonRoulante_17	Stolz_MaisonRoulante_18	Stolz_MaisonRoulante_19	Stolz_MaisonRoulante_20	Stolz_MaisonRoulante_21	Stolz_MaisonRoulante_22	Stolz_MaisonRoulante_23	Stolz_MaisonRoulante_24	Stolz_MaisonRoulante_25	Stolz_MaisonRoulante_26	Stolz_MaisonRoulante_27	Stolz_MaisonRoulante_28	Stolz_MaisonRoulante_29	Stolz_MaisonRoulante_30	Stolz_MaisonRoulante_31	Stolz_MaisonRoulante_32	Stolz_MaisonRoulante_33	Stolz_MaisonRoulante_34	Stolz_MaisonRoulante_35	Stolz_MaisonRoulante_36	Stolz_MaisonRoulante_37	Stolz_MaisonRoulante_38	Stolz_MaisonRoulante_39	Stolz_MaisonRoulante_40	Stolz_MaisonRoulante_41	Stolz_MaisonRoulante_42	Stolz_MaisonRoulante_43	Stolz_MaisonRoulante_44	Stolz_MaisonRoulante_45	Stolz_MaisonRoulante_46	Stolz_MaisonRoulante_47	Stolz_MaisonRoulante_48	Stolz_MaisonRoulante_49	Stolz_MaisonRoulante_50	Stolz_MaisonRoulante_51	Stolz_MaisonRoulante_52	Stolz_MaisonRoulante_53	Stolz_MaisonRoulante_54	Stolz_MaisonRoulante_55	Stolz_MaisonRoulante_56	Stolz_MaisonRoulante_57	Stolz_MaisonRoulante_58	Stolz_MaisonRoulante_59	Stolz_MaisonRoulante_60	Stolz_MaisonRoulante_61	Stolz_MaisonRoulante_62	Stolz_MaisonRoulante_63	Stolz_MaisonRoulante_sum
les_DET:ART_le	14.0	16.0	4.0	8.0	14.0	17.0	8.0	6.0	16.0	10.0	7.0	5.0	4.0	4.0	7.0	6.0	4.0	8.0	10.0	3.0	4.0	11.0	12.0	9.0	9.0	6.0	6.0	8.0	12.0	8.0	6.0	2.0	4.0	14.0	18.0	17.0	13.0	10.0	11.0	6.0	8.0	11.0	14.0	21.0	9.0	4.0	1.0	6.0	14.0	12.0	4.0	4.0	7.0	7.0	4.0	7.0	5.0	8.0	12.0	12.0	8.0	12.0	10.0	4.0	561.0
que_KON_que	3.0	7.0	11.0	5.0	5.0	6.0	10.0	5.0	9.0	12.0	11.0	4.0	11.0	5.0	6.0	6.0	4.0	4.0	11.0	8.0	4.0	11.0	12.0	6.0	7.0	9.0	9.0	6.0	14.0	15.0	4.0	15.0	7.0	6.0	11.0	10.0	11.0	8.0	8.0	16.0	10.0	7.0	13.0	7.0	6.0	11.0	7.0	11.0	5.0	7.0	9.0	5.0	6.0	13.0	15.0	13.0	6.0	9.0	9.0	6.0	5.0	10.0	8.0	3.0	533.0
;_PUN_;	6.0	9.0	2.0	7.0	2.0	9.0	13.0	8.0	20.0	3.0	6.0	9.0	17.0	6.0	4.0	9.0	10.0	9.0	9.0	13.0	10.0	9.0	6.0	7.0	8.0	6.0	9.0	6.0	10.0	9.0	8.0	7.0	6.0	5.0	11.0	7.0	8.0	5.0	10.0	7.0	11.0	9.0	14.0	4.0	7.0	5.0	5.0	4.0	9.0	15.0	12.0	8.0	8.0	7.0	6.0	8.0	7.0	7.0	3.0	11.0	8.0	11.0	5.0	2.0	511.0
ne_ADV_ne	2.0	7.0	6.0	8.0	6.0	6.0	2.0	9.0	6.0	4.0	9.0	6.0	14.0	17.0	6.0	7.0	7.0	10.0	18.0	6.0	13.0	7.0	10.0	6.0	7.0	7.0	11.0	4.0	4.0	5.0	10.0	13.0	9.0	6.0	7.0	3.0	8.0	5.0	11.0	9.0	10.0	11.0	7.0	4.0	5.0	15.0	16.0	6.0	7.0	9.0	6.0	9.0	7.0	8.0	8.0	10.0	10.0	9.0	4.0	4.0	7.0	11.0	6.0	2.0	502.0
elle_PRO:PER_elle	6.0	9.0	7.0	4.0	1.0	2.0	5.0	4.0	15.0	3.0	2.0	1.0	9.0	17.0	10.0	6.0	9.0	5.0	14.0	6.0	6.0	7.0	11.0	3.0	7.0	8.0	8.0	1.0	0.0	4.0	6.0	7.0	11.0	4.0	10.0	4.0	15.0	14.0	10.0	17.0	15.0	7.0	8.0	4.0	5.0	4.0	6.0	12.0	11.0	3.0	5.0	9.0	6.0	9.0	7.0	16.0	11.0	15.0	11.0	8.0	6.0	5.0	16.0	2.0	489.0
d'_PRP_de	11.0	5.0	7.0	11.0	7.0	5.0	7.0	11.0	6.0	7.0	5.0	13.0	5.0	4.0	2.0	7.0	10.0	9.0	8.0	6.0	6.0	6.0	10.0	5.0	12.0	10.0	4.0	4.0	5.0	5.0	7.0	5.0	10.0	9.0	10.0	8.0	20.0	5.0	3.0	10.0	4.0	9.0	12.0	12.0	12.0	14.0	5.0	5.0	9.0	11.0	8.0	6.0	5.0	10.0	4.0	6.0	8.0	6.0	5.0	5.0	11.0	7.0	8.0	3.0	485.0
qui_PRO:REL_qui	5.0	16.0	5.0	12.0	12.0	10.0	8.0	15.0	2.0	9.0	9.0	5.0	7.0	9.0	5.0	10.0	11.0	5.0	11.0	3.0	6.0	17.0	12.0	9.0	8.0	8.0	8.0	6.0	9.0	7.0	4.0	3.0	10.0	8.0	5.0	5.0	7.0	4.0	8.0	7.0	8.0	7.0	8.0	7.0	11.0	3.0	7.0	11.0	9.0	8.0	6.0	3.0	6.0	5.0	9.0	8.0	9.0	3.0	11.0	6.0	8.0	4.0	6.0	1.0	484.0
on_PRO:PER_on	9.0	15.0	7.0	16.0	16.0	10.0	6.0	2.0	12.0	11.0	9.0	5.0	6.0	6.0	4.0	4.0	6.0	11.0	10.0	3.0	2.0	2.0	7.0	8.0	7.0	4.0	0.0	5.0	7.0	0.0	9.0	9.0	6.0	11.0	8.0	9.0	8.0	5.0	8.0	4.0	7.0	8.0	12.0	8.0	12.0	6.0	8.0	7.0	6.0	8.0	9.0	12.0	7.0	8.0	7.0	4.0	9.0	3.0	7.0	5.0	13.0	10.0	8.0	5.0	476.0
était_VER:impf_être	10.0	12.0	6.0	14.0	2.0	1.0	8.0	7.0	12.0	7.0	6.0	6.0	8.0	13.0	10.0	6.0	10.0	11.0	12.0	2.0	4.0	18.0	9.0	4.0	3.0	5.0	10.0	13.0	12.0	5.0	3.0	9.0	7.0	6.0	6.0	9.0	4.0	5.0	6.0	12.0	6.0	14.0	5.0	6.0	8.0	5.0	6.0	11.0	11.0	8.0	10.0	8.0	5.0	6.0	5.0	9.0	2.0	8.0	4.0	10.0	4.0	4.0	5.0	2.0	475.0
une_DET:ART_un	17.0	7.0	5.0	5.0	6.0	5.0	13.0	14.0	10.0	5.0	5.0	9.0	11.0	8.0	6.0	5.0	6.0	11.0	10.0	9.0	6.0	6.0	4.0	5.0	5.0	7.0	3.0	8.0	4.0	7.0	8.0	3.0	4.0	9.0	13.0	1.0	7.0	9.0	8.0	6.0	6.0	10.0	9.0	8.0	14.0	10.0	4.0	7.0	5.0	6.0	4.0	9.0	9.0	6.0	6.0	8.0	6.0	12.0	5.0	6.0	4.0	7.0	9.0	1.0	461.0
en_PRP_en	7.0	5.0	4.0	6.0	11.0	29.0	8.0	8.0	5.0	1.0	5.0	3.0	7.0	5.0	11.0	7.0	10.0	8.0	9.0	4.0	7.0	6.0	2.0	3.0	7.0	6.0	5.0	5.0	3.0	5.0	8.0	3.0	8.0	8.0	10.0	7.0	10.0	6.0	11.0	8.0	8.0	7.0	6.0	6.0	4.0	6.0	8.0	5.0	7.0	11.0	10.0	2.0	7.0	9.0	3.0	11.0	8.0	5.0	6.0	4.0	13.0	7.0	4.0	2.0	440.0
se_PRO:PER_se	10.0	14.0	5.0	8.0	9.0	6.0	7.0	14.0	6.0	1.0	3.0	16.0	9.0	12.0	9.0	7.0	8.0	16.0	8.0	11.0	15.0	8.0	8.0	3.0	7.0	6.0	7.0	9.0	5.0	7.0	4.0	3.0	4.0	9.0	4.0	6.0	5.0	7.0	9.0	5.0	2.0	5.0	4.0	6.0	8.0	1.0	2.0	5.0	2.0	9.0	9.0	5.0	7.0	8.0	4.0	6.0	4.0	5.0	7.0	6.0	5.0	8.0	8.0	3.0	439.0
dans_PRP_dans	9.0	9.0	2.0	5.0	11.0	8.0	4.0	4.0	6.0	12.0	6.0	8.0	11.0	2.0	7.0	9.0	7.0	7.0	7.0	6.0	5.0	4.0	4.0	4.0	6.0	10.0	11.0	11.0	8.0	7.0	5.0	3.0	6.0	5.0	11.0	13.0	9.0	11.0	4.0	4.0	11.0	8.0	6.0	7.0	7.0	5.0	5.0	8.0	2.0	3.0	2.0	4.0	6.0	5.0	7.0	4.0	8.0	6.0	10.0	6.0	5.0	10.0	6.0	2.0	424.0
avait_VER:impf_avoir	7.0	15.0	2.0	7.0	6.0	1.0	4.0	5.0	12.0	2.0	9.0	10.0	13.0	12.0	8.0	6.0	7.0	6.0	3.0	1.0	2.0	6.0	5.0	2.0	6.0	12.0	12.0	8.0	14.0	9.0	1.0	1.0	3.0	12.0	6.0	7.0	8.0	8.0	8.0	7.0	10.0	7.0	11.0	2.0	1.0	4.0	3.0	6.0	6.0	9.0	6.0	4.0	11.0	9.0	5.0	10.0	4.0	6.0	7.0	10.0	8.0	3.0	4.0	2.0	421.0
ce_PRO:DEM_ce	5.0	4.0	10.0	10.0	12.0	8.0	8.0	5.0	6.0	5.0	5.0	2.0	6.0	6.0	4.0	9.0	6.0	3.0	6.0	8.0	9.0	7.0	11.0	7.0	4.0	4.0	4.0	9.0	10.0	6.0	3.0	8.0	3.0	11.0	7.0	10.0	4.0	9.0	9.0	9.0	6.0	2.0	10.0	3.0	9.0	7.0	6.0	6.0	5.0	3.0	8.0	2.0	9.0	5.0	8.0	7.0	6.0	6.0	12.0	7.0	6.0	5.0	4.0	3.0	417.0
son_DET:POS_son	4.0	1.0	7.0	7.0	4.0	9.0	4.0	15.0	13.0	1.0	4.0	4.0	7.0	6.0	8.0	8.0	13.0	13.0	10.0	8.0	6.0	6.0	4.0	3.0	10.0	9.0	8.0	8.0	5.0	9.0	0.0	3.0	4.0	7.0	8.0	6.0	10.0	3.0	7.0	15.0	6.0	11.0	3.0	2.0	5.0	0.0	2.0	8.0	6.0	4.0	2.0	4.0	7.0	9.0	7.0	6.0	2.0	12.0	8.0	5.0	9.0	6.0	4.0	2.0	407.0
pas_ADV_pas	2.0	3.0	6.0	6.0	3.0	5.0	7.0	7.0	2.0	6.0	8.0	4.0	7.0	4.0	14.0	4.0	9.0	10.0	8.0	3.0	11.0	6.0	7.0	12.0	5.0	8.0	5.0	3.0	6.0	8.0	10.0	8.0	4.0	4.0	5.0	3.0	8.0	6.0	17.0	3.0	9.0	4.0	8.0	4.0	3.0	14.0	7.0	6.0	8.0	4.0	9.0	6.0	7.0	7.0	3.0	12.0	10.0	3.0	4.0	4.0	7.0	3.0	6.0	0.0	405.0
lui_PRO:PER_lui	2.0	6.0	4.0	4.0	6.0	2.0	2.0	9.0	2.0	0.0	4.0	10.0	8.0	15.0	6.0	10.0	11.0	11.0	6.0	9.0	6.0	10.0	4.0	6.0	6.0	6.0	16.0	7.0	10.0	6.0	5.0	11.0	8.0	5.0	6.0	4.0	2.0	2.0	6.0	9.0	10.0	8.0	3.0	1.0	3.0	4.0	0.0	3.0	4.0	0.0	1.0	5.0	8.0	6.0	7.0	8.0	7.0	10.0	6.0	5.0	5.0	5.0	7.0	1.0	379.0
sa_DET:POS_son	5.0	4.0	2.0	4.0	2.0	2.0	4.0	10.0	7.0	1.0	5.0	7.0	8.0	3.0	7.0	13.0	10.0	5.0	5.0	5.0	7.0	7.0	6.0	4.0	9.0	7.0	9.0	4.0	4.0	6.0	3.0	0.0	11.0	2.0	5.0	6.0	3.0	7.0	4.0	9.0	4.0	7.0	4.0	2.0	4.0	6.0	2.0	9.0	11.0	3.0	4.0	5.0	6.0	10.0	4.0	9.0	5.0	4.0	5.0	4.0	7.0	3.0	10.0	1.0	351.0
est_VER:pres_être	2.0	1.0	5.0	2.0	5.0	5.0	7.0	4.0	2.0	15.0	16.0	2.0	1.0	2.0	5.0	3.0	6.0	0.0	5.0	9.0	12.0	1.0	6.0	16.0	7.0	3.0	10.0	1.0	2.0	5.0	10.0	14.0	3.0	4.0	4.0	4.0	5.0	8.0	9.0	4.0	4.0	3.0	4.0	4.0	15.0	8.0	16.0	4.0	5.0	1.0	3.0	4.0	2.0	4.0	7.0	6.0	6.0	4.0	5.0	4.0	3.0	5.0	2.0	2.0	346.0
s'_PRO:PER_se	4.0	6.0	4.0	6.0	7.0	4.0	5.0	3.0	11.0	2.0	5.0	6.0	6.0	6.0	7.0	6.0	2.0	13.0	5.0	11.0	3.0	3.0	7.0	6.0	3.0	10.0	14.0	5.0	4.0	5.0	3.0	9.0	5.0	4.0	6.0	3.0	7.0	4.0	5.0	4.0	2.0	2.0	6.0	6.0	2.0	1.0	2.0	8.0	9.0	5.0	12.0	7.0	3.0	4.0	4.0	7.0	1.0	1.0	5.0	3.0	10.0	3.0	5.0	1.0	338.0
du_PRP:det_du	8.0	5.0	9.0	2.0	10.0	7.0	5.0	7.0	11.0	5.0	0.0	6.0	4.0	5.0	4.0	5.0	5.0	9.0	7.0	8.0	5.0	9.0	5.0	4.0	5.0	2.0	3.0	9.0	10.0	3.0	3.0	1.0	4.0	6.0	3.0	5.0	5.0	2.0	2.0	3.0	5.0	8.0	3.0	6.0	5.0	7.0	5.0	0.0	4.0	4.0	6.0	7.0	8.0	5.0	3.0	3.0	4.0	5.0	7.0	6.0	6.0	4.0	6.0	1.0	329.0
n'_ADV_ne	3.0	1.0	5.0	7.0	3.0	3.0	7.0	4.0	8.0	8.0	6.0	3.0	4.0	8.0	12.0	3.0	8.0	5.0	2.0	3.0	7.0	6.0	10.0	6.0	5.0	5.0	4.0	6.0	9.0	6.0	6.0	6.0	2.0	4.0	2.0	8.0	7.0	4.0	10.0	8.0	3.0	5.0	10.0	4.0	5.0	2.0	3.0	4.0	6.0	4.0	7.0	2.0	4.0	5.0	1.0	8.0	3.0	4.0	6.0	8.0	3.0	2.0	5.0	1.0	329.0
des_PRP:det_du	22.0	7.0	2.0	9.0	12.0	8.0	5.0	5.0	3.0	3.0	4.0	4.0	5.0	4.0	5.0	1.0	10.0	5.0	6.0	2.0	1.0	6.0	4.0	3.0	0.0	4.0	5.0	6.0	6.0	3.0	4.0	4.0	2.0	5.0	8.0	11.0	4.0	1.0	0.0	4.0	9.0	15.0	5.0	13.0	5.0	2.0	3.0	5.0	4.0	7.0	2.0	4.0	7.0	4.0	3.0	4.0	1.0	3.0	2.0	6.0	5.0	2.0	5.0	3.0	322.0
je_PRO:PER_je	0.0	2.0	14.0	1.0	0.0	3.0	0.0	0.0	1.0	38.0	4.0	0.0	3.0	1.0	0.0	5.0	2.0	0.0	1.0	6.0	1.0	7.0	5.0	6.0	13.0	1.0	0.0	2.0	5.0	0.0	12.0	18.0	8.0	4.0	5.0	0.0	0.0	8.0	5.0	1.0	10.0	0.0	2.0	4.0	3.0	17.0	13.0	6.0	1.0	0.0	6.0	3.0	1.0	4.0	19.0	3.0	6.0	1.0	2.0	8.0	2.0	13.0	8.0	0.0	314.0
qu'_PRO:REL_que	1.0	6.0	4.0	8.0	8.0	4.0	3.0	4.0	3.0	6.0	1.0	6.0	6.0	5.0	6.0	6.0	4.0	5.0	2.0	7.0	6.0	5.0	6.0	3.0	8.0	5.0	7.0	1.0	1.0	5.0	5.0	5.0	2.0	3.0	10.0	5.0	3.0	5.0	6.0	5.0	12.0	3.0	5.0	3.0	4.0	8.0	1.0	4.0	3.0	2.0	7.0	3.0	13.0	5.0	4.0	5.0	4.0	7.0	3.0	1.0	5.0	0.0	4.0	2.0	299.0
pour_PRP_pour	4.0	5.0	4.0	3.0	5.0	7.0	5.0	5.0	13.0	3.0	2.0	5.0	1.0	6.0	4.0	4.0	5.0	3.0	1.0	4.0	2.0	8.0	9.0	3.0	4.0	3.0	6.0	3.0	3.0	2.0	3.0	4.0	2.0	5.0	11.0	2.0	6.0	6.0	1.0	5.0	3.0	2.0	6.0	8.0	6.0	3.0	7.0	5.0	4.0	6.0	6.0	5.0	5.0	3.0	4.0	7.0	4.0	7.0	6.0	9.0	7.0	3.0	3.0	1.0	297.0
qu'_KON_que	3.0	9.0	6.0	8.0	5.0	3.0	2.0	3.0	3.0	5.0	6.0	5.0	8.0	15.0	7.0	0.0	7.0	4.0	7.0	4.0	3.0	4.0	3.0	6.0	6.0	3.0	2.0	2.0	2.0	2.0	5.0	6.0	4.0	3.0	3.0	4.0	7.0	2.0	3.0	10.0	6.0	4.0	6.0	5.0	4.0	3.0	2.0	5.0	6.0	4.0	6.0	2.0	5.0	8.0	4.0	2.0	6.0	3.0	5.0	3.0	3.0	7.0	6.0	2.0	297.0
?_SENT_?	0.0	7.0	4.0	3.0	1.0	1.0	1.0	1.0	0.0	17.0	14.0	4.0	0.0	2.0	8.0	4.0	5.0	6.0	1.0	22.0	10.0	2.0	16.0	14.0	8.0	1.0	9.0	4.0	1.0	4.0	9.0	12.0	4.0	0.0	3.0	0.0	1.0	6.0	6.0	1.0	5.0	0.0	1.0	1.0	4.0	11.0	8.0	3.0	1.0	1.0	3.0	1.0	3.0	0.0	3.0	5.0	1.0	5.0	7.0	1.0	5.0	0.0	4.0	0.0	285.0
au_PRP:det_au	6.0	10.0	6.0	5.0	5.0	8.0	6.0	5.0	8.0	4.0	2.0	5.0	4.0	4.0	6.0	4.0	5.0	6.0	6.0	7.0	3.0	4.0	1.0	1.0	1.0	6.0	1.0	8.0	6.0	6.0	1.0	1.0	2.0	7.0	2.0	2.0	6.0	3.0	1.0	6.0	0.0	2.0	4.0	11.0	5.0	1.0	2.0	2.0	8.0	5.0	6.0	3.0	4.0	7.0	4.0	5.0	6.0	3.0	2.0	1.0	8.0	3.0	6.0	2.0	280.0
c'_PRO:DEM_ce	3.0	4.0	2.0	4.0	2.0	1.0	5.0	2.0	5.0	7.0	10.0	3.0	1.0	5.0	5.0	2.0	7.0	3.0	7.0	6.0	1.0	4.0	7.0	6.0	5.0	2.0	8.0	7.0	3.0	4.0	7.0	4.0	2.0	2.0	4.0	4.0	2.0	4.0	8.0	5.0	7.0	5.0	5.0	2.0	9.0	9.0	13.0	4.0	2.0	3.0	3.0	5.0	3.0	2.0	6.0	4.0	3.0	5.0	1.0	4.0	2.0	3.0	1.0	1.0	275.0
--_PUN_--	1.0	3.0	4.0	3.0	0.0	1.0	0.0	0.0	1.0	29.0	22.0	2.0	3.0	4.0	3.0	7.0	4.0	1.0	0.0	12.0	0.0	1.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	2.0	18.0	18.0	4.0	1.0	0.0	0.0	0.0	17.0	9.0	1.0	6.0	0.0	1.0	5.0	4.0	16.0	21.0	9.0	0.0	0.0	5.0	1.0	5.0	0.0	2.0	2.0	0.0	1.0	6.0	1.0	5.0	0.0	4.0	0.0	270.0
