	France_MannequinOsier_0	France_MannequinOsier_1	France_MannequinOsier_2	France_MannequinOsier_3	France_MannequinOsier_4	France_MannequinOsier_5	France_MannequinOsier_6	France_MannequinOsier_7	France_MannequinOsier_8	France_MannequinOsier_9	France_MannequinOsier_10	France_MannequinOsier_11	France_MannequinOsier_12	France_MannequinOsier_13	France_MannequinOsier_14	France_MannequinOsier_15	France_MannequinOsier_16	France_MannequinOsier_17	France_MannequinOsier_18	France_MannequinOsier_19	France_MannequinOsier_20	France_MannequinOsier_21	France_MannequinOsier_22	France_MannequinOsier_23	France_MannequinOsier_24	France_MannequinOsier_25	France_MannequinOsier_26	France_MannequinOsier_27	France_MannequinOsier_28	France_MannequinOsier_29	France_MannequinOsier_30	France_MannequinOsier_31	France_MannequinOsier_32	France_MannequinOsier_33	France_MannequinOsier_34	France_MannequinOsier_35	France_MannequinOsier_36	France_MannequinOsier_37	France_MannequinOsier_38	France_MannequinOsier_39	France_MannequinOsier_40	France_MannequinOsier_41	France_MannequinOsier_42	France_MannequinOsier_43	France_MannequinOsier_44	France_MannequinOsier_45	France_MannequinOsier_46	France_MannequinOsier_47	France_MannequinOsier_48	France_MannequinOsier_49	France_MannequinOsier_50	France_MannequinOsier_51	France_MannequinOsier_52	France_MannequinOsier_53	France_MannequinOsier_54	France_MannequinOsier_55	France_MannequinOsier_56	France_MannequinOsier_57	France_MannequinOsier_58	France_MannequinOsier_59	France_MannequinOsier_60	France_MannequinOsier_61	France_MannequinOsier_62	France_MannequinOsier_63	France_MannequinOsier_64	France_MannequinOsier_sum
l'_DET:ART_le	15.0	14.0	20.0	7.0	16.0	22.0	20.0	16.0	11.0	17.0	11.0	13.0	14.0	7.0	11.0	6.0	10.0	10.0	15.0	14.0	5.0	9.0	14.0	13.0	5.0	12.0	17.0	22.0	19.0	12.0	12.0	14.0	14.0	20.0	9.0	17.0	6.0	9.0	15.0	16.0	15.0	17.0	11.0	8.0	16.0	21.0	15.0	18.0	17.0	7.0	13.0	8.0	12.0	12.0	6.0	12.0	13.0	5.0	20.0	11.0	10.0	11.0	10.0	8.0	5.0	830.0
des_PRP:det_du	6.0	15.0	11.0	9.0	9.0	12.0	15.0	18.0	18.0	14.0	12.0	16.0	16.0	11.0	20.0	17.0	9.0	17.0	12.0	9.0	17.0	11.0	13.0	8.0	12.0	5.0	9.0	7.0	8.0	11.0	5.0	14.0	21.0	11.0	11.0	16.0	16.0	10.0	14.0	13.0	16.0	11.0	13.0	12.0	7.0	12.0	17.0	21.0	8.0	9.0	11.0	7.0	1.0	8.0	7.0	10.0	5.0	6.0	21.0	16.0	4.0	11.0	12.0	3.0	0.0	746.0
d'_PRP_de	9.0	8.0	15.0	7.0	11.0	8.0	22.0	8.0	5.0	14.0	14.0	10.0	9.0	12.0	7.0	17.0	14.0	9.0	9.0	9.0	15.0	9.0	17.0	10.0	6.0	11.0	6.0	13.0	5.0	8.0	15.0	10.0	13.0	5.0	8.0	7.0	14.0	14.0	4.0	11.0	12.0	4.0	12.0	16.0	15.0	6.0	11.0	15.0	7.0	14.0	9.0	8.0	10.0	11.0	11.0	9.0	9.0	10.0	10.0	9.0	13.0	7.0	14.0	11.0	0.0	671.0
un_DET:ART_un	15.0	8.0	17.0	12.0	11.0	13.0	14.0	14.0	8.0	11.0	10.0	8.0	12.0	18.0	10.0	12.0	14.0	16.0	11.0	6.0	8.0	9.0	6.0	16.0	14.0	6.0	6.0	16.0	7.0	9.0	10.0	16.0	14.0	6.0	10.0	8.0	10.0	12.0	4.0	8.0	8.0	8.0	12.0	12.0	8.0	3.0	6.0	7.0	13.0	7.0	12.0	6.0	6.0	8.0	9.0	4.0	9.0	10.0	12.0	4.0	9.0	8.0	9.0	9.0	1.0	635.0
dans_PRP_dans	9.0	10.0	11.0	9.0	9.0	9.0	12.0	8.0	6.0	11.0	11.0	7.0	7.0	14.0	8.0	4.0	9.0	10.0	10.0	12.0	12.0	12.0	13.0	8.0	7.0	7.0	6.0	12.0	4.0	8.0	18.0	10.0	9.0	5.0	9.0	4.0	7.0	7.0	8.0	8.0	8.0	9.0	10.0	4.0	9.0	10.0	12.0	12.0	14.0	4.0	13.0	5.0	6.0	4.0	9.0	8.0	6.0	8.0	8.0	10.0	10.0	7.0	9.0	11.0	1.0	567.0
une_DET:ART_un	3.0	5.0	10.0	8.0	10.0	9.0	11.0	6.0	9.0	9.0	8.0	4.0	8.0	10.0	10.0	7.0	14.0	10.0	4.0	7.0	7.0	5.0	11.0	9.0	10.0	10.0	10.0	6.0	9.0	14.0	8.0	9.0	5.0	5.0	4.0	6.0	13.0	7.0	10.0	5.0	11.0	9.0	6.0	11.0	15.0	8.0	8.0	10.0	10.0	13.0	7.0	6.0	11.0	8.0	8.0	7.0	5.0	10.0	7.0	7.0	5.0	5.0	7.0	8.0	1.0	528.0
qui_PRO:REL_qui	7.0	6.0	10.0	6.0	10.0	9.0	9.0	6.0	6.0	10.0	15.0	10.0	12.0	6.0	11.0	10.0	5.0	10.0	14.0	12.0	7.0	11.0	9.0	6.0	5.0	5.0	7.0	7.0	6.0	5.0	7.0	4.0	7.0	2.0	8.0	3.0	7.0	6.0	7.0	2.0	7.0	9.0	4.0	8.0	7.0	9.0	5.0	8.0	8.0	3.0	7.0	6.0	6.0	11.0	6.0	13.0	6.0	9.0	19.0	11.0	9.0	13.0	5.0	3.0	2.0	499.0
est_VER:pres_être	3.0	8.0	10.0	17.0	3.0	9.0	15.0	8.0	3.0	3.0	3.0	9.0	9.0	5.0	12.0	6.0	4.0	5.0	5.0	4.0	0.0	12.0	0.0	2.0	11.0	7.0	0.0	7.0	8.0	2.0	2.0	1.0	1.0	9.0	16.0	16.0	11.0	13.0	12.0	21.0	8.0	6.0	4.0	6.0	17.0	19.0	9.0	5.0	3.0	13.0	9.0	11.0	2.0	5.0	8.0	6.0	10.0	7.0	12.0	6.0	6.0	8.0	10.0	2.0	1.0	485.0
que_KON_que	7.0	10.0	7.0	7.0	13.0	6.0	14.0	8.0	11.0	4.0	3.0	7.0	5.0	4.0	5.0	4.0	4.0	4.0	6.0	10.0	7.0	9.0	7.0	8.0	2.0	9.0	2.0	8.0	7.0	8.0	3.0	9.0	5.0	8.0	7.0	9.0	10.0	6.0	3.0	14.0	7.0	8.0	4.0	7.0	9.0	6.0	8.0	4.0	9.0	10.0	9.0	7.0	7.0	9.0	12.0	8.0	10.0	4.0	12.0	14.0	5.0	6.0	6.0	7.0	1.0	469.0
elle_PRO:PER_elle	3.0	4.0	1.0	2.0	4.0	0.0	5.0	6.0	5.0	0.0	2.0	2.0	0.0	1.0	6.0	2.0	15.0	2.0	2.0	0.0	1.0	8.0	11.0	0.0	3.0	12.0	41.0	5.0	1.0	16.0	38.0	6.0	0.0	1.0	0.0	1.0	4.0	9.0	4.0	1.0	0.0	1.0	0.0	0.0	4.0	4.0	4.0	10.0	15.0	4.0	2.0	4.0	31.0	1.0	23.0	16.0	7.0	8.0	1.0	3.0	28.0	2.0	23.0	26.0	4.0	445.0
ne_ADV_ne	8.0	5.0	8.0	5.0	5.0	7.0	11.0	9.0	7.0	3.0	2.0	8.0	9.0	4.0	8.0	5.0	5.0	3.0	3.0	4.0	3.0	7.0	5.0	2.0	10.0	9.0	8.0	6.0	5.0	16.0	4.0	5.0	8.0	14.0	5.0	8.0	8.0	4.0	7.0	8.0	3.0	6.0	5.0	3.0	5.0	12.0	10.0	4.0	8.0	7.0	6.0	7.0	7.0	6.0	6.0	12.0	8.0	5.0	9.0	8.0	7.0	10.0	12.0	9.0	5.0	441.0
pas_ADV_pas	4.0	11.0	8.0	6.0	2.0	8.0	6.0	10.0	5.0	4.0	3.0	8.0	11.0	9.0	7.0	7.0	10.0	3.0	4.0	5.0	2.0	8.0	3.0	4.0	7.0	5.0	6.0	8.0	9.0	11.0	8.0	4.0	6.0	12.0	9.0	8.0	9.0	6.0	7.0	10.0	8.0	5.0	2.0	4.0	2.0	10.0	7.0	1.0	4.0	9.0	4.0	10.0	6.0	3.0	8.0	5.0	10.0	7.0	7.0	8.0	7.0	8.0	8.0	7.0	0.0	423.0
du_PRP:det_du	6.0	9.0	3.0	6.0	6.0	6.0	9.0	9.0	5.0	10.0	8.0	11.0	5.0	8.0	7.0	10.0	7.0	10.0	7.0	5.0	4.0	0.0	4.0	8.0	3.0	3.0	6.0	5.0	7.0	7.0	11.0	11.0	8.0	3.0	5.0	4.0	4.0	6.0	8.0	9.0	9.0	2.0	6.0	5.0	12.0	11.0	5.0	5.0	8.0	7.0	8.0	6.0	9.0	6.0	5.0	4.0	3.0	6.0	3.0	5.0	5.0	4.0	4.0	10.0	0.0	411.0
n'_ADV_ne	7.0	11.0	6.0	6.0	2.0	4.0	6.0	11.0	1.0	3.0	4.0	3.0	6.0	8.0	7.0	3.0	12.0	1.0	4.0	6.0	6.0	6.0	3.0	4.0	3.0	11.0	6.0	7.0	3.0	3.0	9.0	5.0	3.0	5.0	6.0	5.0	4.0	5.0	7.0	10.0	5.0	5.0	2.0	4.0	3.0	10.0	4.0	2.0	3.0	5.0	6.0	8.0	8.0	6.0	9.0	4.0	12.0	8.0	8.0	8.0	6.0	7.0	8.0	5.0	0.0	368.0
en_PRP_en	6.0	2.0	6.0	1.0	3.0	11.0	3.0	7.0	5.0	8.0	9.0	5.0	4.0	7.0	7.0	8.0	8.0	12.0	6.0	6.0	5.0	2.0	5.0	5.0	6.0	5.0	3.0	1.0	2.0	6.0	6.0	9.0	7.0	7.0	6.0	5.0	5.0	8.0	7.0	9.0	4.0	5.0	9.0	11.0	6.0	4.0	4.0	9.0	2.0	2.0	4.0	8.0	6.0	4.0	2.0	6.0	7.0	5.0	8.0	4.0	11.0	7.0	4.0	0.0	2.0	367.0
--_PUN_--	3.0	3.0	3.0	14.0	6.0	5.0	3.0	5.0	11.0	4.0	2.0	6.0	20.0	4.0	10.0	7.0	4.0	7.0	2.0	0.0	0.0	2.0	0.0	4.0	21.0	3.0	1.0	7.0	5.0	0.0	1.0	3.0	2.0	8.0	6.0	7.0	11.0	11.0	11.0	8.0	6.0	6.0	2.0	2.0	5.0	3.0	5.0	3.0	4.0	20.0	11.0	9.0	2.0	6.0	2.0	1.0	1.0	9.0	0.0	2.0	7.0	5.0	2.0	2.0	3.0	348.0
son_DET:POS_son	7.0	2.0	3.0	1.0	4.0	1.0	1.0	1.0	4.0	8.0	11.0	7.0	7.0	7.0	5.0	3.0	7.0	3.0	10.0	2.0	8.0	3.0	10.0	5.0	5.0	2.0	12.0	6.0	10.0	6.0	10.0	6.0	4.0	1.0	5.0	0.0	3.0	2.0	4.0	1.0	4.0	11.0	9.0	4.0	4.0	3.0	4.0	2.0	2.0	3.0	5.0	5.0	13.0	3.0	10.0	8.0	10.0	1.0	2.0	1.0	7.0	5.0	5.0	9.0	1.0	328.0
ce_PRO:DEM_ce	5.0	1.0	4.0	3.0	6.0	6.0	2.0	6.0	1.0	4.0	4.0	2.0	0.0	6.0	7.0	2.0	5.0	5.0	9.0	2.0	7.0	8.0	2.0	7.0	7.0	10.0	5.0	9.0	3.0	2.0	3.0	5.0	1.0	4.0	5.0	5.0	5.0	6.0	6.0	2.0	4.0	6.0	10.0	5.0	6.0	8.0	1.0	4.0	4.0	5.0	5.0	8.0	3.0	4.0	9.0	6.0	11.0	1.0	6.0	1.0	4.0	9.0	10.0	6.0	2.0	320.0
était_VER:impf_être	5.0	4.0	4.0	0.0	4.0	2.0	0.0	2.0	6.0	5.0	6.0	4.0	2.0	6.0	3.0	5.0	6.0	2.0	4.0	7.0	12.0	1.0	11.0	7.0	7.0	8.0	17.0	5.0	3.0	9.0	15.0	13.0	4.0	2.0	3.0	1.0	1.0	6.0	6.0	3.0	2.0	0.0	9.0	5.0	2.0	4.0	4.0	5.0	5.0	4.0	1.0	4.0	10.0	5.0	6.0	3.0	11.0	4.0	1.0	1.0	3.0	4.0	3.0	5.0	1.0	313.0
se_PRO:PER_se	5.0	3.0	3.0	5.0	4.0	5.0	3.0	2.0	5.0	6.0	6.0	6.0	6.0	7.0	1.0	3.0	4.0	6.0	3.0	5.0	5.0	8.0	6.0	4.0	5.0	4.0	10.0	2.0	4.0	9.0	5.0	5.0	7.0	5.0	1.0	1.0	1.0	3.0	4.0	3.0	7.0	0.0	4.0	3.0	4.0	4.0	8.0	4.0	2.0	2.0	4.0	4.0	5.0	7.0	1.0	6.0	6.0	4.0	9.0	4.0	5.0	2.0	7.0	6.0	0.0	288.0
avait_VER:impf_avoir	5.0	3.0	5.0	2.0	0.0	3.0	0.0	3.0	2.0	5.0	4.0	3.0	6.0	3.0	5.0	2.0	11.0	5.0	12.0	11.0	13.0	3.0	8.0	6.0	2.0	3.0	13.0	8.0	2.0	4.0	9.0	4.0	6.0	0.0	6.0	0.0	5.0	0.0	3.0	2.0	4.0	4.0	8.0	4.0	1.0	1.0	3.0	0.0	7.0	4.0	0.0	1.0	10.0	3.0	8.0	5.0	4.0	4.0	1.0	0.0	6.0	4.0	7.0	6.0	2.0	284.0
sa_DET:POS_son	6.0	3.0	4.0	0.0	2.0	2.0	2.0	2.0	5.0	11.0	11.0	5.0	5.0	6.0	3.0	0.0	5.0	3.0	7.0	5.0	8.0	5.0	4.0	3.0	8.0	5.0	5.0	6.0	8.0	4.0	5.0	4.0	2.0	3.0	3.0	0.0	4.0	0.0	1.0	1.0	2.0	5.0	7.0	2.0	0.0	2.0	2.0	4.0	11.0	4.0	4.0	0.0	9.0	9.0	11.0	5.0	5.0	3.0	3.0	0.0	6.0	2.0	8.0	9.0	3.0	282.0
sur_PRP_sur	6.0	1.0	3.0	2.0	1.0	3.0	7.0	1.0	2.0	8.0	7.0	3.0	0.0	4.0	1.0	3.0	3.0	5.0	9.0	4.0	5.0	2.0	6.0	8.0	5.0	6.0	6.0	7.0	5.0	2.0	4.0	10.0	8.0	2.0	6.0	3.0	5.0	2.0	3.0	2.0	8.0	5.0	8.0	3.0	0.0	5.0	5.0	4.0	5.0	0.0	3.0	5.0	2.0	5.0	7.0	3.0	3.0	6.0	3.0	9.0	6.0	5.0	6.0	4.0	0.0	280.0
par_PRP_par	9.0	5.0	1.0	0.0	9.0	6.0	4.0	1.0	2.0	3.0	6.0	6.0	2.0	4.0	4.0	3.0	4.0	6.0	10.0	2.0	5.0	4.0	2.0	5.0	2.0	2.0	5.0	4.0	3.0	5.0	3.0	3.0	6.0	4.0	2.0	6.0	5.0	1.0	5.0	3.0	2.0	8.0	6.0	8.0	2.0	5.0	4.0	10.0	5.0	4.0	1.0	5.0	4.0	5.0	7.0	5.0	5.0	3.0	9.0	2.0	1.0	3.0	4.0	7.0	1.0	278.0
lui_PRO:PER_lui	4.0	0.0	3.0	4.0	5.0	0.0	1.0	3.0	5.0	2.0	6.0	5.0	7.0	7.0	3.0	6.0	9.0	5.0	5.0	3.0	5.0	5.0	10.0	2.0	6.0	8.0	9.0	6.0	4.0	5.0	11.0	2.0	5.0	1.0	4.0	1.0	4.0	0.0	1.0	1.0	4.0	4.0	3.0	5.0	0.0	1.0	3.0	0.0	4.0	5.0	1.0	7.0	7.0	3.0	0.0	5.0	8.0	3.0	0.0	1.0	2.0	5.0	6.0	7.0	3.0	260.0
je_PRO:PER_je	3.0	5.0	5.0	9.0	8.0	5.0	1.0	3.0	5.0	2.0	0.0	5.0	9.0	1.0	10.0	4.0	7.0	2.0	1.0	0.0	0.0	3.0	1.0	2.0	3.0	3.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	7.0	6.0	6.0	8.0	7.0	3.0	1.0	1.0	7.0	0.0	0.0	3.0	14.0	3.0	1.0	2.0	6.0	7.0	8.0	1.0	4.0	6.0	3.0	9.0	5.0	3.0	4.0	6.0	11.0	5.0	4.0	5.0	257.0
qu'_PRO:REL_que	3.0	3.0	4.0	2.0	4.0	2.0	2.0	5.0	5.0	3.0	5.0	7.0	8.0	3.0	2.0	1.0	7.0	1.0	2.0	2.0	3.0	6.0	7.0	4.0	6.0	5.0	11.0	5.0	4.0	5.0	6.0	4.0	0.0	2.0	1.0	6.0	5.0	2.0	6.0	3.0	1.0	4.0	2.0	6.0	6.0	1.0	3.0	2.0	4.0	3.0	4.0	2.0	8.0	1.0	2.0	1.0	7.0	3.0	6.0	10.0	4.0	4.0	4.0	3.0	1.0	254.0
pour_PRP_pour	4.0	4.0	6.0	3.0	7.0	5.0	6.0	4.0	4.0	3.0	2.0	1.0	5.0	1.0	4.0	5.0	5.0	4.0	4.0	7.0	1.0	5.0	2.0	5.0	2.0	3.0	5.0	5.0	1.0	9.0	4.0	2.0	6.0	1.0	2.0	8.0	5.0	1.0	5.0	6.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	3.0	5.0	12.0	2.0	6.0	2.0	3.0	4.0	2.0	6.0	3.0	6.0	4.0	5.0	7.0	5.0	1.0	2.0	250.0
qu'_KON_que	7.0	3.0	4.0	5.0	4.0	4.0	7.0	5.0	0.0	0.0	3.0	1.0	5.0	2.0	4.0	2.0	3.0	2.0	4.0	5.0	3.0	7.0	3.0	5.0	4.0	5.0	1.0	1.0	0.0	4.0	4.0	2.0	2.0	5.0	5.0	6.0	4.0	5.0	4.0	10.0	6.0	1.0	2.0	2.0	2.0	3.0	6.0	2.0	5.0	4.0	5.0	7.0	8.0	3.0	8.0	6.0	4.0	3.0	1.0	6.0	6.0	3.0	4.0	3.0	0.0	250.0
mais_KON_mais	3.0	5.0	5.0	6.0	2.0	3.0	3.0	5.0	3.0	5.0	2.0	6.0	3.0	3.0	3.0	6.0	5.0	2.0	5.0	4.0	5.0	5.0	6.0	3.0	8.0	4.0	6.0	2.0	5.0	4.0	3.0	4.0	4.0	4.0	0.0	5.0	5.0	2.0	4.0	4.0	4.0	5.0	1.0	3.0	1.0	4.0	3.0	1.0	2.0	6.0	4.0	6.0	7.0	0.0	4.0	1.0	3.0	5.0	5.0	2.0	5.0	5.0	4.0	4.0	2.0	249.0
m_VER:pper_m	5.0	3.0	3.0	8.0	6.0	2.0	1.0	3.0	5.0	2.0	2.0	3.0	4.0	3.0	10.0	13.0	5.0	4.0	2.0	0.0	5.0	1.0	3.0	1.0	5.0	3.0	2.0	5.0	4.0	1.0	2.0	0.0	1.0	1.0	6.0	7.0	8.0	7.0	8.0	8.0	5.0	5.0	5.0	3.0	7.0	2.0	6.0	2.0	1.0	4.0	11.0	10.0	1.0	1.0	1.0	2.0	1.0	6.0	0.0	1.0	2.0	0.0	2.0	0.0	2.0	242.0
s'_PRO:PER_se	6.0	1.0	2.0	3.0	3.0	3.0	2.0	5.0	3.0	4.0	4.0	4.0	1.0	4.0	3.0	6.0	2.0	5.0	3.0	3.0	6.0	3.0	9.0	8.0	4.0	9.0	6.0	6.0	4.0	2.0	8.0	4.0	4.0	5.0	5.0	1.0	0.0	5.0	2.0	3.0	4.0	5.0	3.0	3.0	5.0	3.0	3.0	8.0	5.0	2.0	3.0	0.0	2.0	4.0	3.0	2.0	6.0	2.0	1.0	4.0	1.0	1.0	3.0	4.0	1.0	239.0
vous_PRO:PER_vous	2.0	4.0	2.0	7.0	4.0	3.0	6.0	9.0	1.0	0.0	0.0	2.0	14.0	5.0	5.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	4.0	3.0	2.0	2.0	0.0	0.0	1.0	1.0	5.0	6.0	3.0	3.0	2.0	3.0	2.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	5.0	12.0	14.0	1.0	11.0	0.0	1.0	2.0	5.0	6.0	27.0	8.0	6.0	3.0	6.0	4.0	232.0
au_PRP:det_au	5.0	5.0	3.0	4.0	4.0	1.0	1.0	3.0	5.0	5.0	5.0	4.0	4.0	4.0	3.0	2.0	3.0	2.0	4.0	9.0	4.0	1.0	0.0	3.0	0.0	4.0	4.0	3.0	6.0	1.0	1.0	1.0	2.0	1.0	6.0	7.0	7.0	3.0	4.0	2.0	4.0	4.0	7.0	2.0	5.0	3.0	4.0	8.0	3.0	0.0	3.0	1.0	2.0	3.0	6.0	3.0	3.0	2.0	9.0	3.0	5.0	2.0	2.0	3.0	1.0	224.0
plus_ADV_plus	3.0	4.0	1.0	1.0	1.0	4.0	15.0	5.0	5.0	3.0	0.0	3.0	4.0	3.0	7.0	3.0	2.0	3.0	3.0	5.0	5.0	5.0	1.0	1.0	3.0	6.0	3.0	6.0	2.0	7.0	3.0	3.0	1.0	3.0	2.0	2.0	0.0	6.0	5.0	5.0	1.0	10.0	2.0	3.0	5.0	3.0	2.0	0.0	0.0	2.0	6.0	4.0	2.0	3.0	3.0	12.0	6.0	1.0	5.0	0.0	0.0	2.0	5.0	2.0	1.0	224.0
