	France_CrimeSylvestreBonnard_0	France_CrimeSylvestreBonnard_1	France_CrimeSylvestreBonnard_2	France_CrimeSylvestreBonnard_3	France_CrimeSylvestreBonnard_4	France_CrimeSylvestreBonnard_5	France_CrimeSylvestreBonnard_6	France_CrimeSylvestreBonnard_7	France_CrimeSylvestreBonnard_8	France_CrimeSylvestreBonnard_9	France_CrimeSylvestreBonnard_10	France_CrimeSylvestreBonnard_11	France_CrimeSylvestreBonnard_12	France_CrimeSylvestreBonnard_13	France_CrimeSylvestreBonnard_14	France_CrimeSylvestreBonnard_15	France_CrimeSylvestreBonnard_16	France_CrimeSylvestreBonnard_17	France_CrimeSylvestreBonnard_18	France_CrimeSylvestreBonnard_19	France_CrimeSylvestreBonnard_20	France_CrimeSylvestreBonnard_21	France_CrimeSylvestreBonnard_22	France_CrimeSylvestreBonnard_23	France_CrimeSylvestreBonnard_24	France_CrimeSylvestreBonnard_25	France_CrimeSylvestreBonnard_26	France_CrimeSylvestreBonnard_27	France_CrimeSylvestreBonnard_28	France_CrimeSylvestreBonnard_29	France_CrimeSylvestreBonnard_30	France_CrimeSylvestreBonnard_31	France_CrimeSylvestreBonnard_32	France_CrimeSylvestreBonnard_33	France_CrimeSylvestreBonnard_34	France_CrimeSylvestreBonnard_35	France_CrimeSylvestreBonnard_36	France_CrimeSylvestreBonnard_37	France_CrimeSylvestreBonnard_38	France_CrimeSylvestreBonnard_39	France_CrimeSylvestreBonnard_40	France_CrimeSylvestreBonnard_41	France_CrimeSylvestreBonnard_42	France_CrimeSylvestreBonnard_43	France_CrimeSylvestreBonnard_44	France_CrimeSylvestreBonnard_45	France_CrimeSylvestreBonnard_46	France_CrimeSylvestreBonnard_47	France_CrimeSylvestreBonnard_48	France_CrimeSylvestreBonnard_49	France_CrimeSylvestreBonnard_50	France_CrimeSylvestreBonnard_51	France_CrimeSylvestreBonnard_52	France_CrimeSylvestreBonnard_53	France_CrimeSylvestreBonnard_54	France_CrimeSylvestreBonnard_55	France_CrimeSylvestreBonnard_56	France_CrimeSylvestreBonnard_57	France_CrimeSylvestreBonnard_58	France_CrimeSylvestreBonnard_59	France_CrimeSylvestreBonnard_60	France_CrimeSylvestreBonnard_61	France_CrimeSylvestreBonnard_62	France_CrimeSylvestreBonnard_63	France_CrimeSylvestreBonnard_64	France_CrimeSylvestreBonnard_65	France_CrimeSylvestreBonnard_66	France_CrimeSylvestreBonnard_67	France_CrimeSylvestreBonnard_68	France_CrimeSylvestreBonnard_69	France_CrimeSylvestreBonnard_70	France_CrimeSylvestreBonnard_71	France_CrimeSylvestreBonnard_72	France_CrimeSylvestreBonnard_sum
d'_PRP_de	20.0	10.0	12.0	12.0	10.0	9.0	8.0	7.0	14.0	4.0	7.0	15.0	12.0	9.0	10.0	8.0	13.0	7.0	10.0	7.0	12.0	8.0	12.0	10.0	15.0	20.0	11.0	15.0	15.0	11.0	13.0	13.0	11.0	16.0	10.0	11.0	10.0	12.0	11.0	7.0	15.0	12.0	9.0	13.0	12.0	10.0	10.0	14.0	10.0	11.0	5.0	7.0	7.0	9.0	15.0	14.0	8.0	5.0	7.0	11.0	10.0	5.0	5.0	6.0	6.0	4.0	7.0	12.0	7.0	14.0	15.0	2.0	7.0	751.0
les_DET:ART_le	15.0	13.0	5.0	18.0	8.0	8.0	10.0	7.0	9.0	10.0	16.0	3.0	15.0	16.0	11.0	18.0	5.0	9.0	12.0	5.0	9.0	10.0	7.0	18.0	13.0	10.0	22.0	15.0	8.0	6.0	11.0	12.0	14.0	8.0	9.0	12.0	13.0	9.0	9.0	7.0	18.0	10.0	10.0	15.0	9.0	8.0	13.0	13.0	6.0	5.0	9.0	8.0	7.0	4.0	12.0	5.0	8.0	6.0	8.0	5.0	21.0	14.0	2.0	2.0	3.0	6.0	8.0	13.0	2.0	8.0	8.0	12.0	3.0	716.0
il_PRO:PER_il	15.0	10.0	13.0	8.0	7.0	17.0	10.0	7.0	6.0	7.0	4.0	10.0	5.0	8.0	9.0	14.0	11.0	5.0	6.0	7.0	6.0	9.0	15.0	4.0	5.0	5.0	0.0	4.0	9.0	11.0	9.0	9.0	6.0	11.0	22.0	18.0	9.0	23.0	4.0	16.0	2.0	1.0	3.0	8.0	12.0	5.0	18.0	8.0	8.0	7.0	5.0	11.0	21.0	11.0	11.0	7.0	9.0	8.0	13.0	17.0	14.0	7.0	7.0	9.0	7.0	11.0	13.0	15.0	20.0	13.0	18.0	4.0	17.0	714.0
l'_DET:ART_le	6.0	9.0	9.0	13.0	12.0	7.0	11.0	17.0	14.0	6.0	11.0	7.0	10.0	7.0	14.0	6.0	6.0	6.0	14.0	14.0	5.0	5.0	7.0	15.0	4.0	14.0	9.0	17.0	9.0	9.0	7.0	13.0	8.0	15.0	15.0	12.0	11.0	16.0	12.0	10.0	7.0	9.0	7.0	15.0	3.0	5.0	10.0	15.0	6.0	5.0	7.0	6.0	9.0	12.0	5.0	6.0	7.0	9.0	4.0	7.0	11.0	7.0	8.0	4.0	8.0	12.0	13.0	11.0	15.0	15.0	6.0	8.0	12.0	696.0
est_VER:pres_être	6.0	12.0	11.0	9.0	11.0	7.0	5.0	9.0	11.0	5.0	4.0	14.0	1.0	10.0	14.0	12.0	5.0	4.0	4.0	12.0	14.0	4.0	8.0	7.0	1.0	6.0	8.0	6.0	6.0	15.0	13.0	10.0	13.0	7.0	0.0	5.0	0.0	2.0	6.0	16.0	8.0	9.0	5.0	7.0	14.0	11.0	17.0	15.0	11.0	10.0	8.0	13.0	12.0	17.0	8.0	2.0	5.0	14.0	12.0	5.0	9.0	11.0	9.0	11.0	9.0	6.0	11.0	8.0	16.0	20.0	21.0	7.0	11.0	665.0
une_DET:ART_un	11.0	6.0	8.0	12.0	14.0	12.0	12.0	6.0	9.0	12.0	9.0	17.0	11.0	5.0	14.0	10.0	11.0	8.0	10.0	5.0	21.0	14.0	8.0	8.0	7.0	28.0	10.0	4.0	16.0	6.0	9.0	6.0	7.0	9.0	5.0	9.0	13.0	8.0	11.0	8.0	17.0	12.0	7.0	10.0	5.0	10.0	12.0	13.0	3.0	9.0	7.0	5.0	3.0	5.0	6.0	8.0	12.0	7.0	8.0	4.0	5.0	10.0	6.0	6.0	2.0	8.0	6.0	7.0	5.0	9.0	6.0	11.0	5.0	658.0
que_KON_que	6.0	8.0	9.0	2.0	12.0	10.0	12.0	6.0	4.0	8.0	5.0	11.0	5.0	8.0	5.0	2.0	2.0	6.0	11.0	4.0	10.0	10.0	9.0	13.0	7.0	9.0	12.0	14.0	8.0	7.0	6.0	9.0	14.0	8.0	10.0	11.0	7.0	9.0	7.0	4.0	13.0	4.0	9.0	9.0	6.0	9.0	6.0	11.0	14.0	12.0	9.0	10.0	12.0	15.0	3.0	15.0	7.0	13.0	4.0	9.0	10.0	7.0	15.0	7.0	14.0	3.0	7.0	14.0	5.0	8.0	11.0	6.0	7.0	624.0
me_PRO:PER_me	7.0	14.0	4.0	3.0	12.0	16.0	11.0	10.0	6.0	9.0	8.0	10.0	5.0	10.0	8.0	12.0	14.0	12.0	13.0	9.0	9.0	8.0	5.0	7.0	8.0	5.0	10.0	12.0	15.0	3.0	5.0	5.0	9.0	4.0	9.0	6.0	6.0	3.0	2.0	8.0	6.0	10.0	13.0	8.0	5.0	12.0	14.0	4.0	12.0	7.0	4.0	6.0	9.0	4.0	10.0	9.0	16.0	12.0	10.0	12.0	10.0	11.0	12.0	8.0	9.0	11.0	3.0	2.0	4.0	10.0	6.0	9.0	7.0	617.0
des_PRP:det_du	8.0	10.0	7.0	7.0	3.0	8.0	4.0	11.0	18.0	4.0	9.0	13.0	7.0	19.0	10.0	13.0	9.0	3.0	8.0	4.0	6.0	7.0	9.0	17.0	11.0	3.0	10.0	6.0	6.0	6.0	15.0	13.0	9.0	7.0	9.0	3.0	10.0	9.0	4.0	12.0	8.0	4.0	4.0	11.0	9.0	8.0	10.0	10.0	10.0	6.0	5.0	9.0	7.0	10.0	9.0	3.0	5.0	3.0	18.0	8.0	8.0	4.0	7.0	11.0	8.0	2.0	9.0	10.0	6.0	9.0	7.0	7.0	5.0	597.0
qui_PRO:REL_qui	5.0	5.0	3.0	4.0	11.0	7.0	6.0	12.0	12.0	4.0	11.0	13.0	5.0	4.0	5.0	8.0	0.0	9.0	8.0	6.0	11.0	9.0	12.0	8.0	9.0	8.0	14.0	11.0	8.0	9.0	13.0	7.0	8.0	8.0	5.0	6.0	7.0	6.0	5.0	6.0	5.0	5.0	4.0	9.0	15.0	7.0	5.0	4.0	8.0	3.0	7.0	9.0	6.0	8.0	6.0	4.0	3.0	3.0	8.0	4.0	10.0	7.0	10.0	4.0	11.0	8.0	9.0	17.0	9.0	9.0	6.0	12.0	8.0	551.0
ne_ADV_ne	6.0	6.0	13.0	10.0	6.0	8.0	8.0	6.0	5.0	8.0	5.0	6.0	1.0	7.0	9.0	4.0	1.0	6.0	8.0	7.0	6.0	5.0	3.0	6.0	4.0	5.0	5.0	4.0	7.0	6.0	8.0	3.0	7.0	4.0	10.0	11.0	11.0	3.0	8.0	11.0	4.0	2.0	11.0	8.0	8.0	10.0	7.0	8.0	11.0	12.0	6.0	10.0	12.0	15.0	8.0	9.0	13.0	10.0	8.0	5.0	7.0	13.0	12.0	11.0	9.0	4.0	5.0	11.0	9.0	6.0	10.0	5.0	7.0	543.0
dans_PRP_dans	8.0	4.0	8.0	9.0	8.0	10.0	10.0	9.0	12.0	10.0	15.0	6.0	8.0	7.0	7.0	3.0	9.0	2.0	5.0	4.0	11.0	7.0	8.0	12.0	9.0	8.0	9.0	8.0	6.0	6.0	4.0	6.0	4.0	17.0	10.0	5.0	11.0	8.0	15.0	5.0	4.0	9.0	3.0	6.0	5.0	9.0	8.0	6.0	8.0	4.0	2.0	5.0	5.0	7.0	4.0	7.0	6.0	6.0	6.0	1.0	7.0	12.0	7.0	9.0	3.0	10.0	9.0	9.0	12.0	8.0	5.0	9.0	6.0	540.0
vous_PRO:PER_vous	6.0	12.0	6.0	0.0	6.0	1.0	13.0	5.0	6.0	1.0	6.0	3.0	6.0	12.0	6.0	9.0	14.0	4.0	6.0	6.0	8.0	11.0	7.0	2.0	1.0	1.0	12.0	2.0	7.0	13.0	0.0	1.0	1.0	8.0	4.0	5.0	4.0	2.0	5.0	8.0	5.0	14.0	12.0	0.0	0.0	4.0	5.0	8.0	15.0	18.0	8.0	15.0	7.0	0.0	18.0	5.0	15.0	15.0	4.0	9.0	0.0	7.0	13.0	12.0	13.0	9.0	19.0	1.0	3.0	2.0	2.0	4.0	2.0	494.0
en_PRP_en	16.0	8.0	6.0	5.0	6.0	1.0	4.0	7.0	6.0	11.0	13.0	5.0	6.0	6.0	4.0	6.0	4.0	5.0	4.0	5.0	7.0	4.0	7.0	12.0	9.0	9.0	7.0	11.0	7.0	2.0	3.0	8.0	12.0	7.0	8.0	5.0	9.0	9.0	5.0	10.0	8.0	4.0	9.0	7.0	5.0	6.0	3.0	14.0	8.0	8.0	12.0	6.0	7.0	2.0	3.0	7.0	3.0	10.0	6.0	9.0	8.0	6.0	6.0	4.0	5.0	5.0	6.0	4.0	0.0	7.0	2.0	7.0	2.0	478.0
--_PUN_--	6.0	11.0	10.0	1.0	9.0	0.0	3.0	7.0	2.0	7.0	3.0	1.0	6.0	13.0	4.0	15.0	10.0	6.0	3.0	19.0	8.0	2.0	4.0	0.0	1.0	0.0	4.0	3.0	4.0	9.0	0.0	8.0	7.0	3.0	0.0	1.0	0.0	1.0	9.0	5.0	9.0	10.0	17.0	0.0	1.0	5.0	6.0	10.0	15.0	17.0	12.0	11.0	5.0	2.0	5.0	2.0	10.0	14.0	5.0	6.0	1.0	27.0	9.0	16.0	7.0	11.0	5.0	7.0	4.0	5.0	3.0	2.0	6.0	470.0
pas_ADV_pas	3.0	6.0	8.0	0.0	3.0	3.0	4.0	6.0	5.0	7.0	3.0	5.0	3.0	6.0	9.0	4.0	1.0	7.0	4.0	9.0	5.0	4.0	3.0	3.0	2.0	4.0	3.0	4.0	6.0	7.0	5.0	4.0	2.0	1.0	6.0	6.0	7.0	5.0	8.0	9.0	6.0	8.0	12.0	4.0	3.0	12.0	7.0	9.0	5.0	8.0	5.0	10.0	11.0	14.0	15.0	8.0	10.0	16.0	13.0	4.0	2.0	7.0	9.0	9.0	7.0	2.0	4.0	8.0	10.0	13.0	8.0	3.0	3.0	455.0
j'_PRO:PER_je	5.0	7.0	4.0	4.0	10.0	12.0	5.0	4.0	5.0	14.0	8.0	7.0	11.0	7.0	7.0	2.0	4.0	8.0	6.0	6.0	4.0	7.0	5.0	5.0	13.0	9.0	4.0	13.0	7.0	3.0	9.0	2.0	7.0	6.0	3.0	4.0	7.0	4.0	5.0	4.0	4.0	5.0	7.0	7.0	3.0	4.0	3.0	5.0	4.0	6.0	8.0	4.0	11.0	5.0	8.0	8.0	7.0	9.0	7.0	11.0	3.0	8.0	7.0	6.0	2.0	7.0	4.0	4.0	6.0	4.0	4.0	4.0	3.0	445.0
elle_PRO:PER_elle	2.0	2.0	8.0	1.0	13.0	4.0	1.0	4.0	1.0	10.0	2.0	4.0	6.0	4.0	5.0	0.0	3.0	10.0	5.0	1.0	7.0	4.0	4.0	1.0	0.0	14.0	4.0	3.0	15.0	8.0	2.0	2.0	2.0	8.0	0.0	3.0	12.0	1.0	10.0	7.0	17.0	25.0	16.0	1.0	2.0	10.0	0.0	5.0	12.0	12.0	10.0	15.0	0.0	11.0	12.0	10.0	6.0	11.0	4.0	2.0	6.0	5.0	13.0	8.0	3.0	1.0	8.0	13.0	7.0	2.0	2.0	0.0	2.0	444.0
!_SENT_!	6.0	5.0	10.0	4.0	4.0	3.0	7.0	2.0	7.0	7.0	3.0	2.0	1.0	0.0	0.0	25.0	16.0	4.0	1.0	17.0	7.0	10.0	1.0	1.0	2.0	0.0	5.0	3.0	5.0	9.0	5.0	10.0	7.0	1.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	6.0	7.0	2.0	1.0	6.0	6.0	4.0	5.0	12.0	8.0	4.0	6.0	1.0	12.0	2.0	7.0	8.0	5.0	8.0	1.0	8.0	5.0	9.0	4.0	9.0	4.0	4.0	6.0	3.0	15.0	6.0	7.0	405.0
ce_PRO:DEM_ce	5.0	6.0	8.0	5.0	5.0	1.0	2.0	3.0	9.0	3.0	7.0	4.0	2.0	2.0	4.0	6.0	3.0	8.0	9.0	8.0	4.0	5.0	1.0	4.0	5.0	1.0	5.0	6.0	4.0	7.0	6.0	4.0	5.0	5.0	7.0	5.0	6.0	3.0	5.0	4.0	5.0	5.0	1.0	6.0	7.0	7.0	7.0	2.0	4.0	6.0	12.0	6.0	7.0	3.0	5.0	12.0	6.0	8.0	5.0	7.0	4.0	4.0	5.0	2.0	9.0	2.0	9.0	10.0	9.0	9.0	8.0	5.0	1.0	390.0
m'_PRO:PER_me	6.0	1.0	2.0	1.0	5.0	6.0	6.0	6.0	3.0	7.0	6.0	5.0	9.0	1.0	3.0	5.0	9.0	6.0	6.0	5.0	5.0	1.0	2.0	6.0	5.0	3.0	8.0	7.0	7.0	2.0	6.0	2.0	2.0	2.0	5.0	9.0	4.0	1.0	1.0	9.0	5.0	6.0	5.0	3.0	12.0	8.0	6.0	7.0	8.0	9.0	2.0	2.0	4.0	3.0	0.0	4.0	9.0	5.0	6.0	8.0	8.0	6.0	12.0	4.0	4.0	5.0	3.0	1.0	1.0	2.0	5.0	8.0	4.0	360.0
n'_ADV_ne	3.0	5.0	6.0	1.0	4.0	7.0	7.0	6.0	5.0	6.0	3.0	2.0	5.0	5.0	8.0	3.0	1.0	5.0	0.0	5.0	7.0	5.0	6.0	2.0	2.0	4.0	7.0	5.0	3.0	5.0	5.0	7.0	0.0	4.0	2.0	7.0	5.0	8.0	4.0	7.0	6.0	6.0	6.0	4.0	4.0	11.0	10.0	8.0	2.0	2.0	7.0	5.0	5.0	8.0	10.0	5.0	3.0	6.0	4.0	5.0	2.0	6.0	3.0	4.0	5.0	5.0	3.0	5.0	6.0	8.0	4.0	2.0	4.0	356.0
mon_DET:POS_mon	5.0	9.0	2.0	4.0	6.0	14.0	10.0	6.0	3.0	10.0	2.0	7.0	7.0	3.0	3.0	4.0	6.0	3.0	4.0	3.0	4.0	5.0	5.0	1.0	6.0	3.0	7.0	6.0	5.0	4.0	3.0	0.0	7.0	4.0	9.0	2.0	3.0	8.0	7.0	2.0	3.0	3.0	0.0	5.0	6.0	4.0	4.0	2.0	6.0	4.0	4.0	1.0	3.0	5.0	4.0	3.0	2.0	5.0	6.0	3.0	2.0	4.0	4.0	3.0	5.0	6.0	4.0	3.0	4.0	9.0	2.0	6.0	2.0	329.0
mais_KON_mais	4.0	3.0	8.0	3.0	5.0	6.0	9.0	1.0	2.0	4.0	3.0	3.0	2.0	8.0	4.0	4.0	3.0	7.0	3.0	3.0	6.0	6.0	4.0	1.0	4.0	4.0	5.0	3.0	7.0	8.0	6.0	3.0	4.0	3.0	4.0	2.0	3.0	2.0	5.0	4.0	6.0	6.0	4.0	5.0	5.0	6.0	4.0	2.0	6.0	4.0	6.0	7.0	7.0	6.0	3.0	4.0	2.0	4.0	8.0	6.0	2.0	5.0	2.0	3.0	6.0	2.0	6.0	2.0	7.0	6.0	5.0	2.0	5.0	323.0
sur_PRP_sur	3.0	1.0	2.0	3.0	3.0	2.0	6.0	7.0	3.0	2.0	4.0	3.0	8.0	4.0	4.0	5.0	9.0	6.0	2.0	5.0	7.0	5.0	2.0	6.0	5.0	10.0	8.0	2.0	6.0	4.0	6.0	3.0	2.0	3.0	5.0	2.0	13.0	3.0	5.0	7.0	8.0	3.0	1.0	12.0	4.0	5.0	3.0	3.0	1.0	2.0	3.0	5.0	4.0	2.0	1.0	6.0	3.0	6.0	5.0	2.0	6.0	2.0	3.0	8.0	4.0	5.0	3.0	6.0	2.0	1.0	5.0	6.0	4.0	320.0
du_PRP:det_du	2.0	5.0	7.0	12.0	5.0	1.0	6.0	5.0	5.0	7.0	2.0	4.0	9.0	5.0	4.0	5.0	2.0	5.0	10.0	7.0	2.0	7.0	9.0	9.0	5.0	3.0	3.0	1.0	1.0	1.0	1.0	6.0	4.0	5.0	3.0	4.0	2.0	4.0	8.0	7.0	4.0	1.0	4.0	12.0	6.0	5.0	8.0	2.0	4.0	4.0	2.0	4.0	5.0	7.0	5.0	1.0	2.0	3.0	3.0	5.0	1.0	0.0	1.0	4.0	6.0	5.0	1.0	3.0	3.0	3.0	1.0	5.0	3.0	316.0
