	Verne_ArchipelFeu_0	Verne_ArchipelFeu_1	Verne_ArchipelFeu_2	Verne_ArchipelFeu_3	Verne_ArchipelFeu_4	Verne_ArchipelFeu_5	Verne_ArchipelFeu_6	Verne_ArchipelFeu_7	Verne_ArchipelFeu_8	Verne_ArchipelFeu_9	Verne_ArchipelFeu_10	Verne_ArchipelFeu_11	Verne_ArchipelFeu_12	Verne_ArchipelFeu_13	Verne_ArchipelFeu_14	Verne_ArchipelFeu_15	Verne_ArchipelFeu_16	Verne_ArchipelFeu_17	Verne_ArchipelFeu_18	Verne_ArchipelFeu_19	Verne_ArchipelFeu_20	Verne_ArchipelFeu_21	Verne_ArchipelFeu_22	Verne_ArchipelFeu_23	Verne_ArchipelFeu_24	Verne_ArchipelFeu_25	Verne_ArchipelFeu_26	Verne_ArchipelFeu_27	Verne_ArchipelFeu_28	Verne_ArchipelFeu_29	Verne_ArchipelFeu_30	Verne_ArchipelFeu_31	Verne_ArchipelFeu_32	Verne_ArchipelFeu_33	Verne_ArchipelFeu_34	Verne_ArchipelFeu_35	Verne_ArchipelFeu_36	Verne_ArchipelFeu_37	Verne_ArchipelFeu_38	Verne_ArchipelFeu_39	Verne_ArchipelFeu_40	Verne_ArchipelFeu_41	Verne_ArchipelFeu_42	Verne_ArchipelFeu_43	Verne_ArchipelFeu_44	Verne_ArchipelFeu_45	Verne_ArchipelFeu_46	Verne_ArchipelFeu_47	Verne_ArchipelFeu_48	Verne_ArchipelFeu_49	Verne_ArchipelFeu_50	Verne_ArchipelFeu_51	Verne_ArchipelFeu_52	Verne_ArchipelFeu_53	Verne_ArchipelFeu_54	Verne_ArchipelFeu_55	Verne_ArchipelFeu_56	Verne_ArchipelFeu_57	Verne_ArchipelFeu_58	Verne_ArchipelFeu_59	Verne_ArchipelFeu_60	Verne_ArchipelFeu_61	Verne_ArchipelFeu_62	Verne_ArchipelFeu_63	Verne_ArchipelFeu_64	Verne_ArchipelFeu_65	Verne_ArchipelFeu_66	Verne_ArchipelFeu_67	Verne_ArchipelFeu_68	Verne_ArchipelFeu_69	Verne_ArchipelFeu_70	Verne_ArchipelFeu_71	Verne_ArchipelFeu_72	Verne_ArchipelFeu_73	Verne_ArchipelFeu_74	Verne_ArchipelFeu_75	Verne_ArchipelFeu_76	Verne_ArchipelFeu_77	Verne_ArchipelFeu_sum
il_PRO:PER_il	5.0	10.0	21.0	9.0	12.0	17.0	18.0	12.0	27.0	12.0	11.0	5.0	4.0	10.0	22.0	17.0	25.0	13.0	20.0	21.0	12.0	8.0	6.0	12.0	6.0	8.0	7.0	12.0	14.0	15.0	14.0	15.0	15.0	25.0	25.0	18.0	19.0	10.0	20.0	12.0	15.0	12.0	12.0	12.0	2.0	12.0	7.0	8.0	18.0	23.0	11.0	10.0	7.0	8.0	6.0	7.0	16.0	19.0	9.0	15.0	6.0	9.0	11.0	14.0	4.0	8.0	5.0	7.0	10.0	9.0	8.0	8.0	9.0	16.0	12.0	8.0	7.0	1.0	945.0
l'_DET:ART_le	18.0	16.0	13.0	12.0	12.0	12.0	11.0	10.0	11.0	14.0	14.0	18.0	8.0	12.0	14.0	11.0	9.0	14.0	5.0	9.0	12.0	17.0	21.0	10.0	16.0	20.0	18.0	11.0	15.0	13.0	9.0	3.0	8.0	6.0	8.0	8.0	7.0	6.0	4.0	23.0	13.0	8.0	7.0	12.0	18.0	13.0	6.0	14.0	7.0	12.0	9.0	18.0	21.0	11.0	11.0	18.0	12.0	12.0	18.0	9.0	13.0	13.0	12.0	6.0	9.0	6.0	15.0	8.0	8.0	14.0	10.0	17.0	17.0	11.0	9.0	5.0	14.0	0.0	914.0
!_SENT_!	3.0	5.0	16.0	4.0	4.0	1.0	1.0	1.0	10.0	4.0	1.0	0.0	5.0	0.0	1.0	3.0	8.0	15.0	14.0	3.0	18.0	2.0	9.0	23.0	16.0	5.0	0.0	14.0	27.0	5.0	13.0	29.0	11.0	29.0	26.0	24.0	16.0	26.0	41.0	5.0	2.0	1.0	21.0	20.0	1.0	10.0	14.0	2.0	16.0	4.0	3.0	6.0	0.0	1.0	2.0	1.0	9.0	8.0	4.0	2.0	15.0	9.0	11.0	17.0	15.0	1.0	4.0	13.0	4.0	3.0	5.0	4.0	11.0	6.0	22.0	43.0	12.0	1.0	761.0
un_DET:ART_un	6.0	9.0	6.0	11.0	12.0	11.0	6.0	11.0	17.0	13.0	3.0	12.0	8.0	9.0	12.0	13.0	8.0	6.0	6.0	10.0	7.0	12.0	12.0	11.0	2.0	5.0	16.0	19.0	15.0	16.0	10.0	10.0	6.0	7.0	5.0	7.0	3.0	4.0	3.0	9.0	9.0	7.0	8.0	5.0	17.0	7.0	10.0	8.0	5.0	11.0	5.0	5.0	6.0	1.0	5.0	9.0	7.0	8.0	8.0	9.0	11.0	12.0	8.0	1.0	3.0	5.0	5.0	7.0	6.0	13.0	8.0	10.0	3.0	4.0	9.0	6.0	10.0	0.0	639.0
en_PRP_en	6.0	6.0	6.0	8.0	11.0	9.0	9.0	4.0	4.0	5.0	20.0	10.0	3.0	5.0	4.0	2.0	9.0	8.0	6.0	5.0	7.0	15.0	7.0	11.0	7.0	4.0	7.0	9.0	7.0	7.0	7.0	5.0	8.0	5.0	11.0	5.0	6.0	7.0	4.0	6.0	9.0	9.0	3.0	6.0	7.0	3.0	6.0	10.0	12.0	9.0	8.0	9.0	11.0	9.0	6.0	9.0	12.0	10.0	5.0	13.0	11.0	11.0	5.0	7.0	9.0	9.0	6.0	10.0	11.0	1.0	14.0	8.0	3.0	9.0	9.0	5.0	9.0	2.0	590.0
ne_ADV_ne	4.0	6.0	7.0	7.0	7.0	5.0	8.0	3.0	11.0	8.0	3.0	1.0	8.0	3.0	7.0	10.0	8.0	8.0	14.0	9.0	4.0	4.0	1.0	4.0	10.0	7.0	0.0	12.0	5.0	8.0	14.0	11.0	20.0	11.0	11.0	9.0	10.0	10.0	18.0	9.0	8.0	6.0	9.0	9.0	5.0	6.0	7.0	6.0	10.0	11.0	11.0	6.0	5.0	9.0	7.0	4.0	10.0	6.0	10.0	8.0	4.0	13.0	7.0	7.0	5.0	4.0	7.0	1.0	8.0	13.0	4.0	5.0	5.0	5.0	10.0	5.0	5.0	0.0	576.0
qui_PRO:REL_qui	9.0	6.0	7.0	6.0	10.0	3.0	12.0	5.0	7.0	9.0	5.0	8.0	11.0	10.0	11.0	11.0	3.0	6.0	2.0	5.0	7.0	7.0	7.0	4.0	12.0	9.0	13.0	9.0	17.0	11.0	12.0	10.0	6.0	3.0	10.0	8.0	5.0	9.0	8.0	5.0	2.0	5.0	9.0	7.0	4.0	11.0	8.0	6.0	7.0	5.0	7.0	10.0	6.0	9.0	8.0	7.0	7.0	4.0	6.0	7.0	9.0	7.0	8.0	9.0	3.0	7.0	6.0	6.0	9.0	6.0	8.0	6.0	9.0	9.0	7.0	4.0	9.0	0.0	575.0
du_PRP:det_du	11.0	14.0	6.0	8.0	11.0	7.0	16.0	9.0	8.0	13.0	5.0	11.0	9.0	8.0	3.0	4.0	5.0	8.0	4.0	10.0	14.0	10.0	14.0	4.0	19.0	11.0	13.0	8.0	2.0	8.0	2.0	3.0	8.0	2.0	11.0	5.0	9.0	1.0	3.0	8.0	3.0	5.0	5.0	7.0	6.0	8.0	2.0	9.0	6.0	7.0	12.0	8.0	8.0	8.0	8.0	4.0	6.0	10.0	9.0	7.0	13.0	7.0	11.0	3.0	5.0	3.0	9.0	4.0	5.0	3.0	11.0	4.0	3.0	9.0	3.0	2.0	6.0	0.0	564.0
se_PRO:PER_se	8.0	7.0	8.0	16.0	6.0	8.0	5.0	7.0	8.0	7.0	10.0	5.0	8.0	4.0	8.0	4.0	5.0	2.0	10.0	4.0	11.0	7.0	7.0	2.0	1.0	9.0	4.0	7.0	11.0	9.0	5.0	6.0	11.0	9.0	15.0	10.0	12.0	3.0	7.0	4.0	5.0	7.0	5.0	8.0	2.0	5.0	5.0	6.0	6.0	9.0	9.0	9.0	13.0	7.0	7.0	7.0	8.0	11.0	4.0	9.0	2.0	10.0	13.0	8.0	7.0	8.0	6.0	5.0	9.0	15.0	5.0	11.0	9.0	7.0	5.0	6.0	3.0	1.0	562.0
que_KON_que	4.0	10.0	5.0	9.0	6.0	5.0	13.0	9.0	4.0	6.0	5.0	3.0	4.0	7.0	4.0	5.0	15.0	10.0	8.0	12.0	6.0	3.0	7.0	8.0	7.0	4.0	4.0	4.0	4.0	6.0	7.0	7.0	6.0	7.0	6.0	14.0	17.0	14.0	11.0	7.0	10.0	9.0	9.0	3.0	5.0	5.0	10.0	10.0	9.0	2.0	8.0	9.0	5.0	4.0	8.0	7.0	5.0	11.0	4.0	7.0	7.0	9.0	10.0	7.0	5.0	11.0	4.0	7.0	3.0	10.0	9.0	4.0	3.0	9.0	8.0	9.0	6.0	1.0	555.0
des_PRP:det_du	16.0	16.0	7.0	4.0	3.0	11.0	5.0	6.0	2.0	7.0	13.0	13.0	13.0	11.0	9.0	4.0	6.0	7.0	3.0	5.0	8.0	6.0	9.0	11.0	13.0	7.0	6.0	12.0	2.0	4.0	5.0	6.0	6.0	3.0	2.0	1.0	2.0	4.0	0.0	11.0	1.0	4.0	4.0	3.0	9.0	8.0	5.0	1.0	6.0	1.0	3.0	7.0	14.0	8.0	10.0	6.0	8.0	2.0	6.0	10.0	16.0	6.0	2.0	3.0	8.0	8.0	15.0	2.0	9.0	6.0	9.0	7.0	14.0	12.0	1.0	2.0	10.0	0.0	525.0
une_DET:ART_un	7.0	1.0	15.0	10.0	14.0	6.0	5.0	13.0	16.0	6.0	3.0	9.0	4.0	12.0	7.0	5.0	2.0	7.0	5.0	3.0	4.0	7.0	7.0	9.0	11.0	7.0	7.0	8.0	9.0	7.0	4.0	3.0	11.0	6.0	7.0	4.0	1.0	7.0	5.0	5.0	2.0	5.0	4.0	6.0	10.0	6.0	5.0	9.0	5.0	9.0	3.0	7.0	7.0	6.0	4.0	3.0	3.0	10.0	6.0	6.0	6.0	7.0	8.0	8.0	3.0	5.0	5.0	10.0	8.0	5.0	4.0	10.0	6.0	2.0	5.0	5.0	5.0	1.0	498.0
ce_PRO:DEM_ce	8.0	7.0	9.0	6.0	10.0	2.0	4.0	7.0	9.0	3.0	7.0	4.0	7.0	8.0	3.0	10.0	7.0	5.0	8.0	3.0	8.0	3.0	2.0	7.0	4.0	5.0	5.0	7.0	18.0	3.0	8.0	5.0	6.0	10.0	9.0	5.0	11.0	6.0	9.0	4.0	2.0	5.0	15.0	13.0	6.0	3.0	13.0	7.0	3.0	7.0	6.0	7.0	3.0	6.0	3.0	7.0	6.0	9.0	3.0	8.0	5.0	6.0	6.0	9.0	3.0	5.0	4.0	3.0	3.0	3.0	8.0	4.0	2.0	9.0	5.0	6.0	7.0	1.0	483.0
--_PUN_--	5.0	4.0	5.0	8.0	3.0	4.0	4.0	0.0	4.0	1.0	0.0	0.0	5.0	3.0	3.0	1.0	2.0	9.0	6.0	4.0	14.0	11.0	3.0	22.0	16.0	0.0	2.0	14.0	18.0	4.0	15.0	20.0	2.0	13.0	4.0	17.0	3.0	23.0	2.0	4.0	0.0	0.0	15.0	10.0	6.0	1.0	5.0	5.0	9.0	2.0	1.0	4.0	1.0	8.0	4.0	2.0	7.0	5.0	2.0	4.0	9.0	3.0	5.0	6.0	6.0	2.0	4.0	24.0	4.0	5.0	3.0	1.0	2.0	3.0	10.0	11.0	6.0	0.0	473.0
dans_PRP_dans	4.0	5.0	4.0	7.0	10.0	6.0	8.0	6.0	6.0	10.0	5.0	5.0	8.0	5.0	9.0	11.0	10.0	2.0	5.0	12.0	6.0	3.0	7.0	3.0	2.0	11.0	9.0	6.0	5.0	8.0	4.0	7.0	5.0	6.0	5.0	1.0	8.0	4.0	3.0	7.0	13.0	8.0	3.0	5.0	7.0	5.0	5.0	6.0	7.0	8.0	7.0	8.0	12.0	5.0	6.0	5.0	3.0	6.0	7.0	7.0	6.0	4.0	4.0	5.0	6.0	7.0	8.0	4.0	6.0	5.0	6.0	5.0	6.0	4.0	4.0	2.0	5.0	1.0	469.0
était_VER:impf_être	3.0	5.0	6.0	7.0	8.0	11.0	3.0	7.0	8.0	5.0	1.0	4.0	3.0	8.0	7.0	15.0	7.0	5.0	7.0	9.0	8.0	5.0	2.0	3.0	2.0	2.0	4.0	1.0	5.0	6.0	4.0	1.0	4.0	6.0	9.0	8.0	16.0	2.0	9.0	4.0	9.0	9.0	6.0	3.0	7.0	5.0	6.0	6.0	3.0	5.0	6.0	7.0	0.0	4.0	3.0	8.0	8.0	5.0	3.0	9.0	5.0	4.0	9.0	6.0	6.0	5.0	8.0	7.0	10.0	4.0	6.0	10.0	8.0	17.0	7.0	3.0	6.0	1.0	464.0
s'_PRO:PER_se	6.0	10.0	8.0	7.0	8.0	3.0	12.0	3.0	13.0	3.0	5.0	5.0	4.0	3.0	6.0	9.0	5.0	4.0	9.0	5.0	2.0	3.0	5.0	7.0	5.0	4.0	5.0	9.0	9.0	5.0	7.0	4.0	5.0	8.0	4.0	9.0	4.0	5.0	6.0	3.0	5.0	9.0	3.0	5.0	1.0	2.0	5.0	9.0	14.0	10.0	6.0	4.0	5.0	4.0	5.0	1.0	5.0	5.0	4.0	9.0	5.0	11.0	9.0	6.0	8.0	1.0	2.0	5.0	5.0	3.0	4.0	6.0	6.0	8.0	9.0	11.0	3.0	0.0	450.0
au_PRP:det_au	5.0	7.0	4.0	5.0	10.0	6.0	3.0	7.0	1.0	6.0	6.0	8.0	8.0	9.0	5.0	1.0	3.0	5.0	5.0	3.0	3.0	10.0	4.0	3.0	7.0	7.0	2.0	3.0	3.0	5.0	3.0	2.0	4.0	2.0	9.0	1.0	4.0	2.0	2.0	8.0	5.0	7.0	2.0	10.0	10.0	4.0	4.0	6.0	3.0	3.0	7.0	3.0	4.0	7.0	6.0	9.0	6.0	5.0	5.0	10.0	4.0	1.0	7.0	6.0	3.0	7.0	6.0	6.0	5.0	5.0	2.0	8.0	8.0	4.0	7.0	3.0	8.0	0.0	397.0
n'_ADV_ne	2.0	7.0	5.0	7.0	7.0	9.0	3.0	7.0	7.0	3.0	4.0	1.0	4.0	6.0	8.0	4.0	8.0	5.0	3.0	9.0	9.0	6.0	2.0	5.0	4.0	5.0	5.0	3.0	5.0	3.0	7.0	5.0	9.0	3.0	5.0	13.0	6.0	5.0	8.0	6.0	5.0	2.0	4.0	4.0	5.0	4.0	8.0	5.0	4.0	7.0	4.0	7.0	3.0	7.0	7.0	6.0	3.0	2.0	2.0	8.0	6.0	3.0	3.0	6.0	3.0	3.0	4.0	7.0	6.0	1.0	9.0	5.0	3.0	4.0	4.0	5.0	4.0	0.0	396.0
pas_ADV_pas	0.0	3.0	7.0	5.0	3.0	6.0	5.0	6.0	9.0	4.0	4.0	1.0	8.0	4.0	5.0	3.0	4.0	5.0	5.0	9.0	5.0	3.0	2.0	4.0	3.0	6.0	0.0	8.0	3.0	6.0	10.0	9.0	8.0	6.0	6.0	7.0	4.0	11.0	11.0	7.0	4.0	3.0	5.0	6.0	8.0	1.0	8.0	2.0	7.0	11.0	5.0	8.0	3.0	6.0	6.0	3.0	6.0	4.0	3.0	6.0	4.0	9.0	3.0	1.0	1.0	4.0	0.0	2.0	9.0	8.0	8.0	7.0	4.0	5.0	8.0	1.0	2.0	0.0	396.0
plus_ADV_plus	4.0	8.0	2.0	8.0	6.0	8.0	1.0	8.0	6.0	6.0	4.0	5.0	8.0	8.0	2.0	3.0	6.0	3.0	6.0	12.0	4.0	5.0	6.0	7.0	3.0	3.0	6.0	4.0	0.0	4.0	4.0	5.0	6.0	0.0	6.0	3.0	7.0	4.0	3.0	4.0	6.0	3.0	3.0	6.0	5.0	6.0	4.0	4.0	2.0	3.0	4.0	4.0	5.0	5.0	9.0	5.0	6.0	9.0	5.0	7.0	8.0	1.0	5.0	6.0	4.0	2.0	7.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	5.0	10.0	3.0	1.0	381.0
son_DET:POS_son	0.0	0.0	5.0	7.0	7.0	9.0	5.0	7.0	1.0	7.0	6.0	5.0	4.0	7.0	8.0	11.0	3.0	7.0	8.0	3.0	2.0	3.0	7.0	1.0	5.0	4.0	1.0	2.0	3.0	5.0	3.0	6.0	6.0	7.0	10.0	7.0	3.0	7.0	5.0	7.0	6.0	7.0	10.0	8.0	5.0	3.0	4.0	1.0	5.0	11.0	5.0	5.0	2.0	2.0	1.0	1.0	2.0	4.0	6.0	4.0	0.0	5.0	7.0	7.0	5.0	4.0	3.0	0.0	1.0	2.0	2.0	4.0	1.0	3.0	3.0	3.0	8.0	0.0	354.0
avait_VER:impf_avoir	0.0	1.0	1.0	5.0	3.0	8.0	1.0	7.0	6.0	3.0	3.0	3.0	3.0	5.0	3.0	10.0	9.0	4.0	7.0	2.0	1.0	3.0	1.0	2.0	0.0	2.0	0.0	2.0	2.0	4.0	3.0	1.0	11.0	6.0	2.0	4.0	9.0	1.0	8.0	6.0	9.0	5.0	10.0	7.0	4.0	4.0	4.0	6.0	2.0	4.0	5.0	5.0	2.0	2.0	5.0	4.0	2.0	2.0	1.0	5.0	2.0	6.0	11.0	10.0	9.0	6.0	8.0	1.0	10.0	6.0	4.0	2.0	2.0	14.0	5.0	3.0	6.0	0.0	345.0
cette_PRO:DEM_ce	7.0	5.0	2.0	3.0	4.0	2.0	5.0	7.0	5.0	4.0	2.0	9.0	9.0	6.0	5.0	4.0	7.0	6.0	2.0	9.0	2.0	8.0	2.0	1.0	4.0	9.0	5.0	5.0	4.0	2.0	2.0	1.0	2.0	4.0	3.0	3.0	8.0	2.0	6.0	10.0	2.0	6.0	6.0	3.0	2.0	2.0	4.0	4.0	2.0	4.0	10.0	8.0	6.0	8.0	4.0	4.0	4.0	1.0	10.0	7.0	1.0	2.0	4.0	5.0	5.0	3.0	5.0	4.0	6.0	5.0	3.0	2.0	4.0	3.0	2.0	2.0	5.0	0.0	344.0
elle_PRO:PER_elle	0.0	0.0	1.0	10.0	4.0	0.0	0.0	4.0	2.0	3.0	1.0	4.0	9.0	6.0	0.0	6.0	10.0	4.0	3.0	0.0	5.0	4.0	2.0	1.0	2.0	6.0	6.0	0.0	2.0	3.0	0.0	5.0	6.0	8.0	4.0	5.0	8.0	4.0	4.0	6.0	6.0	5.0	11.0	7.0	6.0	5.0	1.0	4.0	2.0	5.0	10.0	2.0	6.0	5.0	2.0	4.0	2.0	2.0	9.0	0.0	0.0	4.0	6.0	6.0	11.0	15.0	18.0	3.0	4.0	5.0	2.0	5.0	2.0	3.0	4.0	3.0	5.0	0.0	338.0
