	Ponson_CordePendu_0	Ponson_CordePendu_1	Ponson_CordePendu_2	Ponson_CordePendu_3	Ponson_CordePendu_4	Ponson_CordePendu_5	Ponson_CordePendu_6	Ponson_CordePendu_7	Ponson_CordePendu_8	Ponson_CordePendu_9	Ponson_CordePendu_10	Ponson_CordePendu_11	Ponson_CordePendu_12	Ponson_CordePendu_13	Ponson_CordePendu_14	Ponson_CordePendu_15	Ponson_CordePendu_16	Ponson_CordePendu_17	Ponson_CordePendu_18	Ponson_CordePendu_19	Ponson_CordePendu_20	Ponson_CordePendu_21	Ponson_CordePendu_22	Ponson_CordePendu_23	Ponson_CordePendu_24	Ponson_CordePendu_25	Ponson_CordePendu_26	Ponson_CordePendu_27	Ponson_CordePendu_28	Ponson_CordePendu_29	Ponson_CordePendu_30	Ponson_CordePendu_31	Ponson_CordePendu_32	Ponson_CordePendu_33	Ponson_CordePendu_34	Ponson_CordePendu_35	Ponson_CordePendu_36	Ponson_CordePendu_37	Ponson_CordePendu_38	Ponson_CordePendu_39	Ponson_CordePendu_40	Ponson_CordePendu_41	Ponson_CordePendu_42	Ponson_CordePendu_43	Ponson_CordePendu_44	Ponson_CordePendu_45	Ponson_CordePendu_46	Ponson_CordePendu_47	Ponson_CordePendu_48	Ponson_CordePendu_sum
un_DET:ART_un	32.0	52.0	55.0	35.0	42.0	46.0	60.0	67.0	63.0	55.0	60.0	54.0	64.0	46.0	63.0	40.0	42.0	47.0	43.0	38.0	40.0	38.0	45.0	49.0	48.0	62.0	57.0	37.0	52.0	60.0	57.0	51.0	52.0	47.0	44.0	42.0	35.0	36.0	53.0	47.0	52.0	58.0	55.0	33.0	60.0	60.0	58.0	45.0	44.0	2421.0
il_PRO:PER_il	38.0	43.0	35.0	54.0	53.0	32.0	35.0	45.0	38.0	52.0	62.0	55.0	51.0	46.0	59.0	50.0	51.0	40.0	46.0	48.0	49.0	35.0	42.0	52.0	55.0	36.0	50.0	54.0	62.0	52.0	51.0	55.0	55.0	48.0	54.0	35.0	48.0	43.0	41.0	52.0	51.0	40.0	48.0	60.0	53.0	58.0	53.0	55.0	42.0	2362.0
vous_PRO:PER_vous	19.0	34.0	80.0	26.0	60.0	12.0	39.0	37.0	50.0	48.0	5.0	34.0	43.0	70.0	26.0	62.0	28.0	40.0	39.0	62.0	81.0	60.0	50.0	14.0	23.0	68.0	56.0	59.0	22.0	10.0	44.0	104.0	38.0	49.0	39.0	72.0	70.0	52.0	48.0	19.0	32.0	69.0	51.0	55.0	20.0	6.0	79.0	79.0	33.0	2216.0
est_VER:pres_être	40.0	40.0	46.0	31.0	60.0	27.0	31.0	44.0	21.0	34.0	21.0	34.0	41.0	48.0	30.0	42.0	30.0	48.0	54.0	45.0	50.0	48.0	50.0	43.0	31.0	30.0	53.0	42.0	22.0	16.0	14.0	34.0	62.0	46.0	63.0	43.0	48.0	46.0	53.0	39.0	37.0	19.0	58.0	38.0	24.0	13.0	24.0	34.0	53.0	1900.0
l'_DET:ART_le	39.0	37.0	30.0	25.0	65.0	58.0	29.0	27.0	38.0	30.0	31.0	30.0	20.0	22.0	34.0	33.0	31.0	37.0	35.0	19.0	30.0	21.0	32.0	39.0	57.0	45.0	38.0	30.0	39.0	39.0	64.0	59.0	54.0	29.0	35.0	19.0	30.0	28.0	30.0	40.0	57.0	45.0	34.0	28.0	40.0	47.0	65.0	61.0	43.0	1848.0
!_SENT_!	67.0	40.0	67.0	43.0	57.0	17.0	30.0	45.0	42.0	39.0	27.0	33.0	32.0	36.0	19.0	32.0	36.0	37.0	49.0	53.0	49.0	61.0	48.0	35.0	27.0	28.0	31.0	44.0	19.0	29.0	23.0	32.0	28.0	43.0	48.0	52.0	55.0	56.0	47.0	32.0	30.0	27.0	36.0	38.0	19.0	28.0	30.0	28.0	21.0	1845.0
Et_KON_et	46.0	43.0	34.0	37.0	35.0	28.0	29.0	31.0	52.0	43.0	37.0	30.0	30.0	29.0	23.0	32.0	23.0	33.0	37.0	44.0	41.0	34.0	42.0	32.0	33.0	39.0	23.0	41.0	28.0	32.0	21.0	23.0	21.0	34.0	41.0	42.0	38.0	35.0	43.0	31.0	36.0	37.0	22.0	40.0	27.0	31.0	25.0	20.0	18.0	1626.0
dit_VER:pres_dire	45.0	43.0	26.0	35.0	57.0	19.0	14.0	26.0	35.0	31.0	25.0	27.0	17.0	35.0	24.0	28.0	18.0	38.0	28.0	41.0	44.0	37.0	28.0	41.0	32.0	29.0	33.0	39.0	21.0	19.0	21.0	42.0	32.0	33.0	29.0	45.0	47.0	33.0	22.0	44.0	33.0	26.0	34.0	39.0	20.0	18.0	26.0	42.0	25.0	1546.0
que_KON_que	30.0	29.0	35.0	31.0	42.0	34.0	36.0	34.0	25.0	15.0	20.0	23.0	25.0	31.0	31.0	46.0	26.0	36.0	33.0	29.0	21.0	52.0	34.0	32.0	31.0	31.0	24.0	26.0	27.0	45.0	27.0	36.0	33.0	39.0	33.0	22.0	31.0	43.0	37.0	33.0	31.0	30.0	22.0	27.0	33.0	36.0	30.0	40.0	28.0	1545.0
une_DET:ART_un	29.0	30.0	24.0	42.0	29.0	36.0	26.0	36.0	28.0	37.0	28.0	29.0	22.0	21.0	33.0	31.0	25.0	27.0	34.0	24.0	27.0	27.0	31.0	23.0	34.0	34.0	32.0	28.0	32.0	23.0	47.0	17.0	39.0	30.0	29.0	24.0	30.0	28.0	33.0	20.0	33.0	36.0	30.0	22.0	37.0	25.0	42.0	18.0	36.0	1458.0
qui_PRO:REL_qui	36.0	37.0	28.0	33.0	20.0	20.0	30.0	33.0	31.0	21.0	26.0	29.0	32.0	27.0	28.0	28.0	27.0	38.0	22.0	22.0	35.0	14.0	38.0	39.0	31.0	26.0	24.0	27.0	35.0	33.0	38.0	31.0	30.0	32.0	24.0	25.0	30.0	18.0	37.0	41.0	28.0	28.0	26.0	23.0	38.0	31.0	42.0	27.0	26.0	1445.0
pas_ADV_pas	23.0	36.0	32.0	27.0	34.0	25.0	15.0	26.0	22.0	25.0	24.0	14.0	25.0	28.0	25.0	29.0	23.0	40.0	17.0	39.0	31.0	29.0	32.0	40.0	34.0	26.0	26.0	35.0	31.0	37.0	21.0	29.0	29.0	31.0	20.0	40.0	31.0	31.0	33.0	43.0	32.0	19.0	31.0	36.0	30.0	32.0	20.0	35.0	23.0	1416.0
était_VER:impf_être	30.0	39.0	13.0	26.0	18.0	42.0	38.0	44.0	37.0	31.0	55.0	32.0	20.0	18.0	35.0	21.0	43.0	31.0	27.0	16.0	17.0	15.0	26.0	40.0	37.0	26.0	20.0	28.0	42.0	39.0	44.0	14.0	20.0	18.0	25.0	18.0	18.0	12.0	34.0	43.0	31.0	26.0	21.0	25.0	43.0	48.0	32.0	13.0	19.0	1410.0
d'_PRP_de	22.0	33.0	32.0	25.0	28.0	40.0	34.0	40.0	40.0	37.0	27.0	29.0	36.0	30.0	31.0	27.0	25.0	27.0	24.0	16.0	32.0	18.0	22.0	25.0	26.0	35.0	35.0	25.0	31.0	26.0	44.0	27.0	28.0	16.0	26.0	25.0	24.0	18.0	27.0	19.0	33.0	31.0	33.0	25.0	36.0	31.0	39.0	22.0	24.0	1406.0
ne_ADV_ne	17.0	36.0	27.0	26.0	36.0	20.0	34.0	30.0	21.0	24.0	27.0	21.0	17.0	31.0	36.0	22.0	25.0	36.0	11.0	38.0	27.0	33.0	32.0	40.0	26.0	19.0	27.0	29.0	31.0	32.0	38.0	27.0	26.0	25.0	20.0	39.0	29.0	28.0	32.0	42.0	23.0	19.0	28.0	34.0	25.0	35.0	34.0	27.0	23.0	1385.0
les_DET:ART_le	32.0	31.0	22.0	33.0	26.0	38.0	29.0	34.0	42.0	28.0	18.0	28.0	36.0	14.0	30.0	17.0	31.0	37.0	14.0	16.0	20.0	16.0	12.0	22.0	24.0	18.0	23.0	18.0	26.0	35.0	31.0	35.0	13.0	24.0	15.0	18.0	15.0	21.0	11.0	25.0	21.0	18.0	21.0	21.0	31.0	33.0	33.0	28.0	11.0	1195.0
je_PRO:PER_je	11.0	8.0	56.0	25.0	31.0	15.0	38.0	22.0	33.0	25.0	8.0	34.0	32.0	33.0	30.0	22.0	25.0	18.0	22.0	34.0	27.0	49.0	33.0	13.0	17.0	25.0	19.0	27.0	12.0	11.0	17.0	31.0	20.0	20.0	21.0	36.0	25.0	50.0	29.0	15.0	18.0	27.0	18.0	26.0	9.0	10.0	25.0	30.0	13.0	1195.0
se_PRO:PER_se	25.0	42.0	13.0	25.0	16.0	32.0	30.0	28.0	12.0	24.0	28.0	27.0	25.0	17.0	50.0	18.0	30.0	24.0	14.0	21.0	19.0	18.0	20.0	24.0	22.0	21.0	29.0	26.0	27.0	43.0	28.0	18.0	25.0	19.0	16.0	22.0	15.0	24.0	21.0	24.0	20.0	24.0	27.0	23.0	32.0	37.0	27.0	23.0	19.0	1194.0
s'_PRO:PER_se	30.0	28.0	17.0	29.0	18.0	31.0	16.0	22.0	24.0	25.0	27.0	27.0	16.0	13.0	20.0	20.0	23.0	24.0	28.0	8.0	21.0	16.0	24.0	29.0	24.0	19.0	23.0	30.0	27.0	38.0	37.0	15.0	22.0	22.0	21.0	16.0	19.0	12.0	27.0	27.0	25.0	17.0	26.0	31.0	31.0	39.0	29.0	17.0	19.0	1149.0
en_PRP_en	35.0	19.0	15.0	16.0	21.0	32.0	27.0	22.0	21.0	21.0	17.0	27.0	26.0	16.0	17.0	25.0	18.0	24.0	27.0	28.0	26.0	20.0	26.0	21.0	26.0	21.0	27.0	18.0	33.0	20.0	23.0	22.0	26.0	22.0	31.0	24.0	25.0	26.0	21.0	22.0	24.0	23.0	30.0	19.0	29.0	20.0	21.0	24.0	24.0	1148.0
dans_PRP_dans	22.0	22.0	21.0	37.0	29.0	39.0	39.0	20.0	30.0	31.0	37.0	25.0	22.0	26.0	28.0	22.0	29.0	29.0	20.0	7.0	15.0	23.0	27.0	35.0	27.0	20.0	18.0	8.0	26.0	18.0	19.0	17.0	15.0	19.0	15.0	9.0	19.0	23.0	31.0	36.0	20.0	20.0	16.0	8.0	29.0	19.0	17.0	15.0	15.0	1114.0
avait_VER:impf_avoir	19.0	20.0	14.0	8.0	8.0	31.0	31.0	27.0	18.0	16.0	38.0	18.0	23.0	19.0	34.0	13.0	56.0	23.0	14.0	13.0	9.0	13.0	12.0	28.0	33.0	19.0	22.0	12.0	33.0	31.0	27.0	16.0	12.0	20.0	12.0	16.0	9.0	12.0	17.0	31.0	28.0	25.0	14.0	23.0	31.0	26.0	20.0	20.0	10.0	1024.0
lui_PRO:PER_lui	12.0	9.0	28.0	25.0	13.0	21.0	22.0	25.0	18.0	15.0	30.0	24.0	15.0	17.0	46.0	30.0	26.0	23.0	25.0	19.0	15.0	16.0	16.0	15.0	24.0	24.0	19.0	21.0	32.0	17.0	24.0	10.0	13.0	33.0	21.0	19.0	14.0	18.0	14.0	23.0	20.0	24.0	19.0	24.0	29.0	14.0	21.0	11.0	16.0	1009.0
n'_ADV_ne	16.0	25.0	24.0	14.0	21.0	21.0	16.0	22.0	20.0	10.0	18.0	12.0	24.0	16.0	28.0	16.0	16.0	24.0	19.0	19.0	21.0	22.0	19.0	24.0	29.0	19.0	20.0	23.0	20.0	22.0	16.0	19.0	25.0	27.0	17.0	16.0	20.0	22.0	24.0	27.0	27.0	15.0	23.0	22.0	18.0	19.0	17.0	24.0	19.0	997.0
M_NOM_m	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	11.0	6.0	8.0	10.0	15.0	10.0	18.0	38.0	24.0	13.0	12.0	8.0	18.0	24.0	19.0	53.0	44.0	53.0	42.0	33.0	50.0	21.0	21.0	33.0	27.0	13.0	10.0	9.0	24.0	15.0	34.0	50.0	47.0	53.0	32.0	40.0	46.0	989.0
homme_NOM_homme	5.0	13.0	22.0	7.0	35.0	12.0	21.0	18.0	15.0	12.0	15.0	6.0	17.0	23.0	15.0	13.0	11.0	15.0	17.0	3.0	30.0	14.0	21.0	28.0	19.0	13.0	26.0	12.0	14.0	25.0	46.0	46.0	29.0	19.0	13.0	9.0	27.0	10.0	25.0	28.0	17.0	20.0	22.0	11.0	14.0	24.0	56.0	41.0	22.0	976.0
M_VER:pper_m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	19.0	14.0	4.0	33.0	4.0	23.0	26.0	39.0	25.0	31.0	18.0	3.0	16.0	24.0	18.0	57.0	23.0	41.0	24.0	33.0	39.0	36.0	24.0	33.0	39.0	21.0	14.0	2.0	22.0	17.0	29.0	54.0	20.0	40.0	26.0	40.0	29.0	969.0
du_PRP:det_du	21.0	22.0	17.0	28.0	13.0	26.0	21.0	26.0	17.0	22.0	27.0	14.0	24.0	11.0	28.0	21.0	30.0	13.0	19.0	24.0	16.0	13.0	20.0	18.0	16.0	19.0	9.0	16.0	26.0	34.0	28.0	12.0	18.0	10.0	23.0	24.0	12.0	20.0	13.0	17.0	16.0	21.0	9.0	18.0	27.0	37.0	20.0	14.0	16.0	966.0
Il_PRO:PER_il	12.0	9.0	24.0	11.0	14.0	17.0	14.0	20.0	12.0	14.0	20.0	37.0	21.0	20.0	29.0	15.0	25.0	11.0	14.0	13.0	16.0	26.0	12.0	18.0	19.0	11.0	13.0	11.0	25.0	19.0	25.0	21.0	20.0	13.0	15.0	13.0	26.0	16.0	10.0	24.0	18.0	9.0	11.0	14.0	28.0	17.0	23.0	20.0	19.0	864.0
son_DET:POS_son	9.0	8.0	17.0	11.0	14.0	33.0	32.0	20.0	14.0	12.0	36.0	10.0	27.0	21.0	14.0	19.0	28.0	18.0	8.0	16.0	18.0	10.0	14.0	13.0	14.0	18.0	17.0	11.0	26.0	26.0	26.0	15.0	20.0	10.0	10.0	20.0	12.0	11.0	18.0	11.0	14.0	17.0	16.0	12.0	29.0	33.0	16.0	14.0	19.0	857.0
bien_ADV_bien	18.0	22.0	15.0	28.0	22.0	11.0	12.0	17.0	8.0	6.0	8.0	20.0	16.0	23.0	11.0	15.0	24.0	20.0	20.0	22.0	20.0	23.0	18.0	23.0	12.0	21.0	16.0	23.0	15.0	13.0	6.0	16.0	21.0	22.0	20.0	16.0	23.0	22.0	19.0	20.0	16.0	17.0	22.0	22.0	9.0	13.0	13.0	15.0	16.0	850.0
a_VER:pres_avoir	7.0	13.0	15.0	12.0	25.0	8.0	16.0	19.0	5.0	17.0	4.0	24.0	30.0	21.0	11.0	33.0	12.0	18.0	31.0	33.0	20.0	21.0	21.0	14.0	17.0	11.0	22.0	14.0	10.0	12.0	5.0	17.0	22.0	20.0	38.0	24.0	23.0	23.0	16.0	10.0	21.0	14.0	18.0	19.0	5.0	9.0	12.0	13.0	19.0	844.0
nous_PRO:PER_nous	45.0	26.0	17.0	34.0	37.0	4.0	12.0	8.0	5.0	17.0	7.0	7.0	9.0	10.0	6.0	14.0	3.0	15.0	6.0	12.0	16.0	10.0	29.0	32.0	27.0	15.0	7.0	12.0	13.0	38.0	7.0	5.0	29.0	17.0	6.0	9.0	18.0	24.0	28.0	27.0	18.0	14.0	16.0	7.0	14.0	36.0	5.0	7.0	30.0	810.0
..._PUN_...	10.0	21.0	38.0	19.0	18.0	7.0	10.0	5.0	14.0	15.0	11.0	7.0	10.0	18.0	7.0	15.0	7.0	22.0	12.0	25.0	33.0	34.0	16.0	16.0	17.0	11.0	17.0	18.0	8.0	13.0	11.0	13.0	11.0	24.0	13.0	40.0	24.0	28.0	17.0	20.0	12.0	12.0	17.0	15.0	8.0	15.0	10.0	14.0	12.0	790.0
au_PRP:det_au	19.0	13.0	14.0	22.0	16.0	19.0	15.0	21.0	20.0	25.0	17.0	17.0	7.0	5.0	20.0	18.0	17.0	14.0	21.0	8.0	13.0	12.0	10.0	11.0	24.0	21.0	22.0	11.0	20.0	16.0	21.0	12.0	13.0	18.0	19.0	11.0	10.0	15.0	9.0	13.0	23.0	24.0	16.0	13.0	20.0	20.0	15.0	10.0	16.0	786.0
Je_PRO:PER_je	6.0	6.0	27.0	15.0	11.0	10.0	15.0	12.0	25.0	13.0	10.0	16.0	15.0	22.0	13.0	16.0	11.0	14.0	16.0	24.0	21.0	19.0	16.0	12.0	11.0	18.0	20.0	24.0	8.0	10.0	5.0	21.0	15.0	19.0	19.0	30.0	16.0	14.0	14.0	14.0	11.0	23.0	16.0	24.0	7.0	8.0	10.0	22.0	12.0	756.0
le_PRO:PER_le	9.0	16.0	22.0	16.0	19.0	13.0	16.0	12.0	17.0	9.0	19.0	15.0	15.0	27.0	24.0	16.0	17.0	12.0	14.0	18.0	16.0	16.0	12.0	16.0	10.0	13.0	18.0	19.0	13.0	13.0	16.0	12.0	14.0	18.0	16.0	16.0	16.0	11.0	11.0	19.0	10.0	13.0	19.0	20.0	12.0	11.0	16.0	12.0	15.0	749.0
ce_PRO:DEM_ce	16.0	14.0	14.0	10.0	9.0	10.0	6.0	16.0	12.0	19.0	10.0	11.0	22.0	23.0	19.0	18.0	18.0	12.0	16.0	20.0	12.0	21.0	18.0	26.0	12.0	12.0	16.0	7.0	20.0	10.0	16.0	14.0	18.0	15.0	18.0	12.0	19.0	19.0	19.0	26.0	8.0	15.0	14.0	8.0	20.0	11.0	15.0	14.0	14.0	744.0
lord_NOM_lord	0.0	0.0	2.0	0.0	2.0	27.0	22.0	29.0	20.0	20.0	57.0	17.0	15.0	56.0	24.0	47.0	46.0	19.0	19.0	8.0	38.0	22.0	21.0	2.0	11.0	4.0	16.0	9.0	6.0	0.0	1.0	1.0	3.0	25.0	9.0	17.0	33.0	20.0	17.0	4.0	9.0	11.0	11.0	12.0	1.0	0.0	2.0	1.0	2.0	738.0
des_PRP:det_du	10.0	16.0	14.0	22.0	8.0	36.0	25.0	23.0	12.0	19.0	16.0	23.0	18.0	7.0	15.0	11.0	23.0	27.0	12.0	14.0	11.0	10.0	10.0	15.0	20.0	11.0	11.0	5.0	16.0	22.0	20.0	16.0	3.0	12.0	16.0	10.0	8.0	13.0	11.0	14.0	21.0	10.0	10.0	3.0	23.0	23.0	16.0	13.0	2.0	726.0
:_PUN_:	20.0	24.0	15.0	7.0	23.0	11.0	18.0	22.0	16.0	18.0	10.0	16.0	20.0	15.0	18.0	12.0	14.0	11.0	17.0	9.0	12.0	8.0	11.0	12.0	13.0	15.0	24.0	17.0	9.0	9.0	10.0	13.0	17.0	17.0	15.0	10.0	9.0	13.0	10.0	12.0	10.0	22.0	20.0	16.0	9.0	8.0	10.0	16.0	16.0	699.0
Le_DET:ART_le	21.0	8.0	6.0	15.0	9.0	14.0	10.0	10.0	11.0	15.0	14.0	10.0	8.0	8.0	28.0	13.0	17.0	18.0	19.0	2.0	5.0	8.0	24.0	25.0	28.0	15.0	8.0	5.0	25.0	22.0	15.0	9.0	6.0	24.0	15.0	3.0	9.0	6.0	23.0	32.0	20.0	16.0	5.0	6.0	30.0	23.0	10.0	10.0	5.0	688.0
Mais_KON_mais	13.0	17.0	19.0	14.0	11.0	10.0	19.0	10.0	14.0	13.0	13.0	9.0	20.0	12.0	22.0	15.0	22.0	13.0	14.0	20.0	15.0	15.0	24.0	17.0	11.0	15.0	15.0	11.0	14.0	13.0	8.0	6.0	5.0	14.0	13.0	19.0	12.0	18.0	21.0	17.0	15.0	11.0	19.0	9.0	13.0	11.0	9.0	4.0	6.0	680.0
Marmouset_NAM_marmouset	30.0	51.0	3.0	19.0	37.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	8.0	32.0	52.0	22.0	9.0	1.0	14.0	5.0	21.0	55.0	4.0	0.0	0.0	0.0	0.0	19.0	8.0	48.0	39.0	28.0	0.0	1.0	14.0	5.0	34.0	46.0	0.0	0.0	0.0	0.0	0.0	646.0
sur_PRP_sur	10.0	9.0	14.0	20.0	12.0	17.0	13.0	12.0	12.0	20.0	19.0	13.0	6.0	6.0	13.0	7.0	8.0	8.0	7.0	7.0	10.0	13.0	9.0	14.0	18.0	14.0	16.0	8.0	16.0	21.0	16.0	16.0	15.0	6.0	7.0	13.0	5.0	13.0	9.0	19.0	15.0	11.0	17.0	8.0	19.0	21.0	15.0	19.0	8.0	624.0
que_PRO:REL_que	18.0	11.0	15.0	21.0	13.0	11.0	6.0	11.0	7.0	28.0	6.0	9.0	19.0	17.0	8.0	11.0	9.0	15.0	11.0	15.0	14.0	17.0	18.0	9.0	13.0	17.0	12.0	11.0	4.0	9.0	9.0	19.0	9.0	11.0	14.0	13.0	13.0	20.0	17.0	8.0	13.0	18.0	12.0	10.0	5.0	6.0	13.0	18.0	8.0	621.0
pour_PRP_pour	6.0	1.0	19.0	7.0	5.0	13.0	13.0	8.0	14.0	16.0	11.0	14.0	13.0	19.0	12.0	24.0	8.0	19.0	12.0	12.0	5.0	18.0	11.0	8.0	17.0	16.0	9.0	12.0	15.0	10.0	11.0	10.0	17.0	18.0	12.0	8.0	8.0	16.0	12.0	11.0	18.0	12.0	10.0	15.0	9.0	15.0	9.0	11.0	13.0	602.0
me_PRO:PER_me	4.0	4.0	61.0	26.0	15.0	8.0	19.0	8.0	21.0	7.0	4.0	25.0	17.0	18.0	14.0	12.0	12.0	12.0	5.0	12.0	9.0	13.0	8.0	5.0	6.0	12.0	6.0	16.0	7.0	5.0	8.0	14.0	11.0	15.0	5.0	13.0	6.0	15.0	6.0	6.0	8.0	10.0	7.0	15.0	8.0	3.0	12.0	13.0	9.0	575.0
y_PRO:PER_y	11.0	11.0	10.0	9.0	14.0	11.0	10.0	8.0	11.0	15.0	5.0	17.0	16.0	4.0	11.0	8.0	14.0	9.0	9.0	9.0	13.0	19.0	14.0	13.0	15.0	14.0	13.0	5.0	15.0	16.0	7.0	11.0	12.0	8.0	10.0	7.0	22.0	16.0	9.0	14.0	17.0	11.0	14.0	9.0	13.0	13.0	9.0	11.0	10.0	572.0
Bell_NAM_bell	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	52.0	41.0	41.0	15.0	0.0	18.0	12.0	39.0	43.0	9.0	1.0	0.0	0.0	0.0	0.0	16.0	49.0	51.0	39.0	3.0	0.0	18.0	13.0	58.0	30.0	3.0	0.0	0.0	0.0	0.0	560.0
