	Ponson_RocambolePrison_0	Ponson_RocambolePrison_1	Ponson_RocambolePrison_2	Ponson_RocambolePrison_3	Ponson_RocambolePrison_4	Ponson_RocambolePrison_5	Ponson_RocambolePrison_6	Ponson_RocambolePrison_7	Ponson_RocambolePrison_8	Ponson_RocambolePrison_9	Ponson_RocambolePrison_10	Ponson_RocambolePrison_11	Ponson_RocambolePrison_12	Ponson_RocambolePrison_13	Ponson_RocambolePrison_14	Ponson_RocambolePrison_15	Ponson_RocambolePrison_16	Ponson_RocambolePrison_17	Ponson_RocambolePrison_18	Ponson_RocambolePrison_19	Ponson_RocambolePrison_20	Ponson_RocambolePrison_21	Ponson_RocambolePrison_22	Ponson_RocambolePrison_23	Ponson_RocambolePrison_24	Ponson_RocambolePrison_25	Ponson_RocambolePrison_26	Ponson_RocambolePrison_27	Ponson_RocambolePrison_28	Ponson_RocambolePrison_29	Ponson_RocambolePrison_30	Ponson_RocambolePrison_sum
est_VER:pres_être	51.0	17.0	36.0	57.0	39.0	41.0	25.0	16.0	46.0	39.0	31.0	5.0	28.0	43.0	33.0	41.0	24.0	24.0	38.0	43.0	66.0	37.0	43.0	38.0	44.0	37.0	40.0	38.0	39.0	45.0	29.0	1133.0
!_SENT_!	32.0	20.0	26.0	31.0	23.0	24.0	36.0	14.0	21.0	14.0	23.0	11.0	43.0	38.0	25.0	33.0	35.0	36.0	33.0	38.0	39.0	52.0	40.0	46.0	43.0	47.0	59.0	55.0	54.0	56.0	68.0	1115.0
qui_PRO:REL_qui	38.0	32.0	35.0	48.0	28.0	39.0	43.0	36.0	39.0	27.0	22.0	48.0	37.0	23.0	35.0	46.0	46.0	36.0	28.0	29.0	28.0	39.0	36.0	27.0	43.0	33.0	37.0	22.0	28.0	31.0	26.0	1065.0
vous_PRO:PER_vous	17.0	63.0	16.0	24.0	42.0	33.0	17.0	22.0	27.0	46.0	76.0	5.0	18.0	33.0	11.0	26.0	50.0	57.0	19.0	36.0	37.0	30.0	29.0	34.0	19.0	48.0	53.0	24.0	37.0	41.0	51.0	1041.0
une_DET:ART_un	36.0	30.0	41.0	25.0	46.0	31.0	36.0	52.0	31.0	32.0	21.0	46.0	42.0	32.0	25.0	35.0	51.0	27.0	34.0	23.0	17.0	35.0	32.0	27.0	40.0	39.0	38.0	28.0	37.0	28.0	19.0	1036.0
pas_ADV_pas	56.0	32.0	40.0	32.0	41.0	21.0	37.0	22.0	35.0	37.0	43.0	30.0	37.0	30.0	37.0	32.0	20.0	46.0	31.0	37.0	54.0	36.0	32.0	26.0	25.0	25.0	31.0	37.0	28.0	25.0	18.0	1033.0
que_KON_que	49.0	27.0	36.0	24.0	31.0	36.0	29.0	20.0	26.0	35.0	28.0	37.0	33.0	31.0	26.0	36.0	34.0	45.0	28.0	43.0	47.0	31.0	29.0	22.0	26.0	30.0	38.0	28.0	31.0	37.0	19.0	992.0
d'_PRP_de	25.0	37.0	34.0	28.0	45.0	26.0	25.0	43.0	32.0	31.0	30.0	35.0	40.0	30.0	43.0	29.0	31.0	28.0	29.0	32.0	21.0	26.0	27.0	22.0	37.0	33.0	24.0	37.0	25.0	38.0	22.0	965.0
dans_PRP_dans	20.0	32.0	28.0	41.0	27.0	28.0	30.0	47.0	38.0	26.0	27.0	56.0	35.0	35.0	38.0	28.0	31.0	20.0	17.0	32.0	20.0	28.0	28.0	31.0	34.0	28.0	29.0	39.0	25.0	32.0	19.0	949.0
dit_VER:pres_dire	19.0	18.0	27.0	29.0	23.0	22.0	23.0	22.0	26.0	29.0	46.0	6.0	13.0	32.0	21.0	34.0	24.0	27.0	24.0	42.0	40.0	38.0	28.0	40.0	42.0	36.0	45.0	40.0	36.0	45.0	33.0	930.0
ne_ADV_ne	38.0	30.0	31.0	29.0	27.0	23.0	32.0	25.0	38.0	31.0	46.0	34.0	31.0	19.0	31.0	23.0	30.0	45.0	33.0	35.0	42.0	30.0	20.0	19.0	30.0	20.0	23.0	25.0	25.0	13.0	26.0	904.0
était_VER:impf_être	27.0	32.0	40.0	28.0	29.0	18.0	33.0	41.0	15.0	37.0	22.0	60.0	41.0	31.0	55.0	37.0	36.0	21.0	37.0	18.0	13.0	15.0	32.0	24.0	16.0	22.0	16.0	25.0	23.0	18.0	17.0	879.0
je_PRO:PER_je	70.0	39.0	27.0	37.0	26.0	26.0	29.0	15.0	20.0	38.0	38.0	10.0	20.0	23.0	19.0	55.0	22.0	32.0	12.0	25.0	30.0	38.0	24.0	20.0	18.0	22.0	43.0	20.0	20.0	23.0	25.0	866.0
se_PRO:PER_se	19.0	34.0	17.0	17.0	32.0	24.0	42.0	26.0	37.0	27.0	22.0	60.0	50.0	29.0	42.0	22.0	26.0	27.0	25.0	22.0	30.0	24.0	30.0	15.0	26.0	24.0	30.0	20.0	18.0	20.0	28.0	865.0
avait_VER:impf_avoir	15.0	33.0	43.0	32.0	17.0	19.0	37.0	50.0	18.0	30.0	24.0	58.0	24.0	43.0	40.0	36.0	31.0	31.0	35.0	14.0	21.0	9.0	31.0	24.0	19.0	34.0	19.0	26.0	18.0	19.0	6.0	856.0
les_DET:ART_le	47.0	21.0	24.0	30.0	35.0	25.0	21.0	24.0	23.0	23.0	24.0	33.0	24.0	26.0	21.0	17.0	23.0	45.0	25.0	18.0	15.0	23.0	32.0	32.0	40.0	29.0	31.0	18.0	22.0	25.0	22.0	818.0
lui_PRO:PER_lui	19.0	27.0	33.0	15.0	23.0	22.0	28.0	23.0	32.0	27.0	22.0	27.0	38.0	42.0	45.0	33.0	25.0	33.0	29.0	28.0	18.0	14.0	23.0	24.0	25.0	17.0	19.0	12.0	23.0	19.0	19.0	784.0
en_PRP_en	26.0	25.0	25.0	32.0	28.0	32.0	26.0	23.0	30.0	34.0	25.0	24.0	15.0	23.0	24.0	16.0	29.0	19.0	28.0	26.0	22.0	25.0	30.0	30.0	19.0	25.0	22.0	28.0	28.0	25.0	19.0	783.0
s'_PRO:PER_se	26.0	25.0	32.0	25.0	26.0	23.0	29.0	28.0	25.0	23.0	14.0	39.0	40.0	27.0	32.0	20.0	31.0	16.0	25.0	17.0	23.0	21.0	21.0	14.0	28.0	28.0	23.0	28.0	16.0	16.0	25.0	766.0
Et_KON_et	18.0	16.0	18.0	20.0	15.0	28.0	20.0	22.0	24.0	17.0	20.0	24.0	28.0	25.0	17.0	24.0	23.0	27.0	14.0	34.0	29.0	31.0	19.0	27.0	28.0	35.0	27.0	26.0	34.0	40.0	30.0	760.0
du_PRP:det_du	28.0	28.0	24.0	35.0	29.0	24.0	29.0	30.0	37.0	18.0	26.0	42.0	23.0	24.0	36.0	18.0	27.0	29.0	25.0	19.0	14.0	13.0	29.0	19.0	21.0	18.0	12.0	17.0	24.0	22.0	11.0	751.0
Marmouset_NAM_marmouset	0.0	0.0	24.0	40.0	17.0	12.0	5.0	0.0	24.0	27.0	31.0	0.0	0.0	0.0	13.0	29.0	29.0	13.0	9.0	56.0	32.0	22.0	27.0	41.0	32.0	27.0	49.0	43.0	45.0	37.0	38.0	722.0
n'_ADV_ne	37.0	21.0	30.0	21.0	29.0	25.0	29.0	20.0	12.0	31.0	18.0	21.0	21.0	24.0	34.0	22.0	17.0	18.0	16.0	19.0	36.0	21.0	20.0	17.0	13.0	21.0	19.0	31.0	22.0	27.0	9.0	701.0
ce_PRO:DEM_ce	16.0	15.0	22.0	25.0	23.0	18.0	12.0	12.0	13.0	20.0	22.0	20.0	14.0	27.0	27.0	20.0	27.0	21.0	25.0	16.0	26.0	20.0	15.0	18.0	17.0	17.0	26.0	18.0	29.0	15.0	14.0	610.0
nous_PRO:PER_nous	16.0	5.0	7.0	13.0	18.0	31.0	9.0	19.0	14.0	20.0	26.0	2.0	2.0	5.0	6.0	25.0	27.0	19.0	15.0	40.0	22.0	28.0	15.0	29.0	20.0	23.0	32.0	40.0	25.0	33.0	15.0	601.0
des_PRP:det_du	28.0	8.0	26.0	13.0	12.0	17.0	18.0	20.0	20.0	16.0	16.0	19.0	24.0	15.0	19.0	20.0	12.0	25.0	8.0	19.0	23.0	14.0	24.0	7.0	30.0	31.0	22.0	16.0	22.0	10.0	8.0	562.0
:_PUN_:	17.0	24.0	21.0	19.0	18.0	15.0	13.0	23.0	16.0	19.0	24.0	13.0	14.0	12.0	19.0	26.0	21.0	20.0	21.0	18.0	24.0	16.0	11.0	20.0	13.0	19.0	18.0	10.0	14.0	13.0	20.0	551.0
son_DET:POS_son	10.0	25.0	13.0	18.0	23.0	24.0	32.0	15.0	27.0	21.0	17.0	28.0	27.0	22.0	18.0	26.0	16.0	19.0	13.0	10.0	12.0	16.0	17.0	17.0	13.0	10.0	10.0	9.0	9.0	8.0	16.0	541.0
au_PRP:det_au	21.0	21.0	18.0	20.0	18.0	12.0	17.0	20.0	32.0	18.0	12.0	21.0	19.0	15.0	16.0	12.0	22.0	18.0	24.0	18.0	16.0	15.0	17.0	12.0	15.0	17.0	15.0	17.0	14.0	16.0	12.0	540.0
a_VER:pres_avoir	28.0	7.0	17.0	19.0	12.0	13.0	13.0	21.0	32.0	24.0	14.0	3.0	19.0	13.0	23.0	29.0	9.0	8.0	27.0	28.0	12.0	18.0	14.0	39.0	18.0	14.0	11.0	16.0	16.0	13.0	4.0	534.0
Milon_NAM_milon	0.0	10.0	37.0	29.0	30.0	49.0	32.0	0.0	21.0	16.0	19.0	0.0	0.0	0.0	0.0	1.0	10.0	17.0	4.0	39.0	3.0	0.0	13.0	34.0	14.0	25.0	19.0	36.0	12.0	48.0	9.0	527.0
homme_NOM_homme	13.0	14.0	27.0	16.0	13.0	17.0	15.0	19.0	15.0	12.0	15.0	9.0	8.0	12.0	16.0	12.0	15.0	34.0	31.0	18.0	35.0	19.0	16.0	17.0	22.0	22.0	15.0	7.0	14.0	11.0	7.0	516.0
..._PUN_...	13.0	6.0	12.0	11.0	8.0	6.0	5.0	6.0	10.0	13.0	8.0	4.0	13.0	18.0	5.0	5.0	14.0	17.0	36.0	17.0	37.0	50.0	35.0	15.0	8.0	19.0	30.0	26.0	20.0	14.0	29.0	510.0
bien_ADV_bien	12.0	11.0	13.0	23.0	11.0	11.0	6.0	8.0	11.0	12.0	10.0	7.0	16.0	17.0	11.0	16.0	9.0	16.0	21.0	24.0	29.0	34.0	16.0	17.0	13.0	12.0	17.0	12.0	20.0	19.0	11.0	465.0
Il_PRO:PER_il	10.0	7.0	15.0	11.0	11.0	11.0	21.0	16.0	18.0	15.0	10.0	12.0	18.0	22.0	33.0	9.0	12.0	14.0	18.0	13.0	19.0	7.0	15.0	15.0	17.0	19.0	17.0	18.0	12.0	14.0	11.0	460.0
sir_NOM_sir	0.0	16.0	1.0	1.0	19.0	4.0	8.0	53.0	20.0	26.0	38.0	10.0	0.0	0.0	3.0	4.0	33.0	10.0	41.0	16.0	12.0	31.0	20.0	2.0	0.0	6.0	25.0	11.0	23.0	9.0	17.0	459.0
le_PRO:PER_le	11.0	14.0	8.0	15.0	11.0	9.0	19.0	20.0	23.0	13.0	22.0	12.0	16.0	15.0	11.0	10.0	9.0	13.0	23.0	23.0	11.0	14.0	17.0	18.0	18.0	14.0	8.0	7.0	10.0	23.0	13.0	450.0
avec_PRP_avec	14.0	19.0	17.0	10.0	13.0	23.0	13.0	10.0	14.0	21.0	19.0	14.0	8.0	19.0	16.0	12.0	11.0	14.0	14.0	13.0	15.0	8.0	12.0	9.0	16.0	20.0	6.0	9.0	14.0	19.0	13.0	435.0
qu'_PRO:REL_que	16.0	10.0	11.0	22.0	7.0	11.0	10.0	13.0	12.0	20.0	16.0	11.0	15.0	22.0	19.0	17.0	23.0	11.0	15.0	11.0	10.0	13.0	11.0	12.0	15.0	12.0	8.0	16.0	18.0	15.0	9.0	431.0
sur_PRP_sur	18.0	17.0	13.0	16.0	4.0	12.0	21.0	17.0	15.0	10.0	7.0	30.0	22.0	22.0	17.0	11.0	17.0	20.0	4.0	14.0	5.0	6.0	8.0	14.0	15.0	22.0	10.0	13.0	10.0	7.0	8.0	425.0
;_PUN_;	23.0	15.0	22.0	20.0	11.0	14.0	19.0	9.0	16.0	21.0	12.0	14.0	24.0	18.0	19.0	19.0	14.0	14.0	21.0	12.0	8.0	7.0	8.0	6.0	9.0	4.0	9.0	8.0	12.0	8.0	3.0	419.0
on_PRO:PER_on	19.0	3.0	6.0	10.0	18.0	11.0	11.0	16.0	13.0	13.0	13.0	14.0	8.0	8.0	15.0	24.0	10.0	21.0	17.0	12.0	18.0	22.0	15.0	18.0	13.0	9.0	11.0	15.0	12.0	13.0	5.0	413.0
pour_PRP_pour	17.0	9.0	14.0	7.0	16.0	19.0	16.0	10.0	17.0	17.0	10.0	12.0	12.0	20.0	14.0	9.0	12.0	17.0	16.0	15.0	16.0	9.0	6.0	12.0	9.0	19.0	12.0	18.0	15.0	7.0	8.0	410.0
elle_PRO:PER_elle	43.0	46.0	14.0	12.0	22.0	8.0	2.0	9.0	11.0	25.0	7.0	26.0	12.0	36.0	3.0	21.0	16.0	3.0	4.0	1.0	2.0	5.0	14.0	8.0	12.0	10.0	3.0	7.0	10.0	6.0	6.0	404.0
que_PRO:REL_que	12.0	10.0	17.0	19.0	18.0	15.0	4.0	9.0	13.0	10.0	18.0	3.0	13.0	12.0	10.0	11.0	15.0	5.0	14.0	20.0	15.0	8.0	14.0	5.0	17.0	8.0	17.0	17.0	22.0	4.0	9.0	384.0
plus_ADV_plus	11.0	17.0	12.0	7.0	10.0	17.0	16.0	14.0	12.0	12.0	9.0	17.0	10.0	12.0	13.0	8.0	15.0	17.0	16.0	5.0	13.0	13.0	12.0	8.0	12.0	17.0	19.0	15.0	8.0	9.0	7.0	383.0
James_NAM_james	0.0	23.0	1.0	3.0	31.0	6.0	10.0	66.0	27.0	28.0	59.0	10.0	0.0	0.0	4.0	4.0	53.0	12.0	18.0	18.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	378.0
Je_PRO:PER_je	22.0	14.0	10.0	17.0	7.0	7.0	14.0	8.0	5.0	16.0	24.0	4.0	9.0	8.0	13.0	12.0	15.0	11.0	10.0	9.0	16.0	15.0	9.0	13.0	14.0	14.0	13.0	12.0	12.0	12.0	12.0	377.0
Mais_KON_mais	12.0	6.0	11.0	9.0	14.0	14.0	11.0	12.0	6.0	10.0	11.0	10.0	14.0	16.0	13.0	12.0	15.0	10.0	9.0	4.0	13.0	18.0	13.0	11.0	14.0	16.0	19.0	14.0	15.0	14.0	11.0	377.0
sa_DET:POS_son	16.0	19.0	10.0	11.0	12.0	10.0	19.0	12.0	15.0	11.0	7.0	20.0	21.0	18.0	19.0	22.0	17.0	10.0	14.0	10.0	2.0	2.0	9.0	8.0	7.0	14.0	8.0	14.0	13.0	3.0	4.0	377.0
ai_VER:pres_avoir	18.0	17.0	17.0	20.0	8.0	13.0	11.0	6.0	5.0	11.0	21.0	4.0	9.0	11.0	7.0	31.0	7.0	10.0	8.0	14.0	12.0	9.0	4.0	6.0	6.0	8.0	16.0	10.0	24.0	15.0	11.0	369.0
y_PRO:PER_y	18.0	5.0	16.0	15.0	12.0	9.0	10.0	16.0	12.0	14.0	5.0	13.0	12.0	10.0	20.0	10.0	9.0	9.0	11.0	12.0	10.0	6.0	11.0	12.0	11.0	11.0	12.0	20.0	14.0	13.0	2.0	360.0
Ellen_NAM_ellen	7.0	68.0	5.0	7.0	43.0	17.0	4.0	0.0	1.0	7.0	9.0	0.0	0.0	0.0	0.0	8.0	20.0	16.0	9.0	11.0	4.0	3.0	20.0	15.0	23.0	20.0	0.0	0.0	7.0	30.0	2.0	356.0
mais_KON_mais	18.0	15.0	12.0	13.0	7.0	8.0	13.0	4.0	15.0	11.0	10.0	13.0	13.0	18.0	11.0	21.0	12.0	11.0	11.0	11.0	17.0	9.0	8.0	5.0	10.0	6.0	9.0	9.0	13.0	9.0	9.0	351.0
Le_DET:ART_le	21.0	12.0	12.0	10.0	12.0	9.0	14.0	13.0	24.0	12.0	13.0	11.0	4.0	14.0	12.0	15.0	7.0	12.0	16.0	9.0	3.0	1.0	17.0	10.0	10.0	13.0	10.0	11.0	6.0	13.0	5.0	351.0
qu'_KON_que	11.0	7.0	16.0	13.0	15.0	11.0	12.0	10.0	11.0	12.0	8.0	10.0	12.0	11.0	20.0	9.0	12.0	11.0	18.0	12.0	6.0	8.0	12.0	12.0	6.0	11.0	9.0	8.0	9.0	12.0	12.0	346.0
en_PRO:PER_en	13.0	6.0	6.0	12.0	9.0	8.0	15.0	9.0	8.0	13.0	14.0	11.0	16.0	18.0	15.0	13.0	5.0	14.0	13.0	12.0	10.0	16.0	6.0	11.0	11.0	9.0	9.0	13.0	12.0	10.0	8.0	345.0
l'_PRO:PER_la|le	8.0	8.0	13.0	15.0	7.0	10.0	9.0	13.0	6.0	8.0	3.0	17.0	12.0	12.0	15.0	18.0	14.0	8.0	12.0	6.0	11.0	7.0	9.0	9.0	10.0	7.0	5.0	13.0	16.0	9.0	4.0	314.0
deux_NUM_deux	12.0	18.0	12.0	9.0	13.0	11.0	14.0	7.0	8.0	10.0	6.0	4.0	6.0	9.0	7.0	10.0	7.0	17.0	10.0	13.0	9.0	14.0	16.0	14.0	11.0	8.0	6.0	4.0	8.0	8.0	5.0	306.0
par_PRP_par	11.0	11.0	17.0	9.0	10.0	14.0	7.0	11.0	8.0	14.0	10.0	10.0	8.0	5.0	12.0	9.0	11.0	15.0	8.0	11.0	5.0	6.0	10.0	8.0	4.0	14.0	14.0	8.0	11.0	8.0	6.0	305.0
me_PRO:PER_me	20.0	14.0	4.0	21.0	11.0	10.0	8.0	4.0	6.0	16.0	16.0	2.0	17.0	1.0	2.0	14.0	7.0	15.0	8.0	13.0	6.0	19.0	5.0	8.0	6.0	7.0	4.0	6.0	10.0	7.0	17.0	304.0
donc_ADV_donc	11.0	5.0	7.0	9.0	4.0	5.0	4.0	8.0	5.0	6.0	4.0	4.0	9.0	22.0	14.0	11.0	10.0	6.0	13.0	10.0	13.0	10.0	14.0	17.0	11.0	9.0	6.0	9.0	8.0	15.0	13.0	292.0
C'_PRO:DEM_ce	15.0	8.0	8.0	14.0	7.0	7.0	6.0	6.0	9.0	9.0	4.0	6.0	11.0	13.0	4.0	10.0	8.0	4.0	7.0	10.0	16.0	6.0	13.0	9.0	10.0	12.0	8.0	7.0	11.0	11.0	11.0	280.0
miss_NOM_miss	5.0	49.0	5.0	5.0	28.0	14.0	4.0	0.0	1.0	8.0	8.0	0.0	0.0	0.0	0.0	6.0	16.0	14.0	6.0	11.0	4.0	3.0	16.0	11.0	20.0	12.0	0.0	0.0	6.0	22.0	1.0	275.0
Robert_NAM_robert	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	32.0	1.0	20.0	40.0	26.0	0.0	0.0	14.0	43.0	17.0	35.0	11.0	31.0	275.0
c'_PRO:DEM_ce	13.0	7.0	10.0	15.0	9.0	8.0	6.0	3.0	7.0	6.0	6.0	4.0	12.0	11.0	12.0	12.0	6.0	7.0	9.0	12.0	10.0	5.0	3.0	10.0	9.0	12.0	12.0	14.0	11.0	8.0	2.0	271.0
ils_PRO:PER_il	2.0	3.0	9.0	13.0	3.0	10.0	9.0	5.0	8.0	3.0	11.0	6.0	5.0	4.0	2.0	2.0	13.0	3.0	8.0	13.0	11.0	22.0	5.0	7.0	9.0	8.0	6.0	21.0	9.0	23.0	9.0	262.0
Rocambole_NOM_rocambole	2.0	7.0	11.0	11.0	9.0	6.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	18.0	38.0	16.0	24.0	27.0	10.0	2.0	2.0	8.0	5.0	11.0	10.0	3.0	33.0	260.0
ses_DET:POS_son	7.0	7.0	10.0	2.0	6.0	7.0	13.0	12.0	3.0	8.0	8.0	22.0	10.0	14.0	8.0	9.0	14.0	11.0	3.0	8.0	2.0	2.0	3.0	9.0	6.0	15.0	8.0	8.0	9.0	8.0	7.0	259.0
j'_PRO:PER_je	10.0	16.0	10.0	15.0	6.0	16.0	5.0	3.0	8.0	14.0	9.0	3.0	6.0	9.0	3.0	23.0	10.0	11.0	6.0	5.0	9.0	2.0	3.0	3.0	5.0	5.0	9.0	3.0	9.0	11.0	8.0	255.0
Ah_INT_ah	5.0	4.0	6.0	6.0	7.0	4.0	9.0	1.0	6.0	5.0	5.0	0.0	8.0	6.0	5.0	9.0	8.0	5.0	9.0	11.0	9.0	13.0	5.0	14.0	16.0	13.0	15.0	8.0	17.0	12.0	10.0	251.0
m'_PRO:PER_me	19.0	10.0	8.0	9.0	8.0	11.0	6.0	2.0	3.0	6.0	17.0	3.0	3.0	9.0	5.0	14.0	5.0	10.0	8.0	10.0	13.0	12.0	7.0	1.0	7.0	6.0	11.0	5.0	9.0	4.0	6.0	247.0
fit_VER:simp_faire	6.0	5.0	4.0	9.0	7.0	5.0	9.0	9.0	7.0	7.0	11.0	5.0	6.0	12.0	7.0	9.0	6.0	6.0	7.0	5.0	7.0	12.0	6.0	8.0	8.0	9.0	7.0	10.0	6.0	17.0	12.0	244.0
tout_ADV_tout	9.0	6.0	6.0	4.0	5.0	7.0	8.0	9.0	9.0	7.0	2.0	9.0	10.0	9.0	12.0	4.0	13.0	4.0	6.0	3.0	13.0	10.0	4.0	11.0	9.0	9.0	10.0	13.0	6.0	6.0	6.0	239.0
cette_PRO:DEM_ce	7.0	5.0	11.0	10.0	5.0	12.0	5.0	7.0	7.0	3.0	11.0	11.0	12.0	4.0	7.0	3.0	9.0	6.0	11.0	8.0	6.0	7.0	8.0	5.0	9.0	11.0	7.0	13.0	7.0	8.0	4.0	239.0
dit-il_NOM_dit-il	6.0	3.0	2.0	8.0	9.0	9.0	10.0	7.0	4.0	5.0	7.0	4.0	13.0	3.0	8.0	3.0	9.0	10.0	8.0	8.0	7.0	8.0	13.0	9.0	13.0	5.0	10.0	10.0	5.0	5.0	11.0	232.0
comme_KON_comme	17.0	9.0	7.0	5.0	3.0	6.0	12.0	9.0	6.0	4.0	10.0	18.0	11.0	8.0	6.0	11.0	7.0	8.0	6.0	2.0	8.0	7.0	8.0	2.0	8.0	5.0	7.0	6.0	5.0	6.0	4.0	231.0
Polyte_NAM_polyte	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	58.0	39.0	8.0	29.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	7.0	6.0	14.0	3.0	224.0
Alors_ADV_alors	4.0	9.0	8.0	6.0	8.0	4.0	4.0	6.0	5.0	6.0	5.0	12.0	8.0	5.0	8.0	16.0	11.0	7.0	8.0	4.0	10.0	7.0	6.0	6.0	5.0	10.0	2.0	10.0	9.0	9.0	6.0	224.0
porte_NOM_porte	4.0	5.0	6.0	10.0	6.0	4.0	6.0	7.0	10.0	8.0	6.0	13.0	10.0	10.0	9.0	2.0	2.0	3.0	1.0	0.0	4.0	2.0	3.0	5.0	3.0	22.0	14.0	11.0	18.0	10.0	5.0	219.0
