Source,Target,Weight,Type
Malot_Cara,Gaboriau_Lerouge,2,undirected
Malot_Cara,Malot_ClotildeMartory,5,undirected
Malot_Cara,Malot_Ghislaine,6,undirected
Malot_Cara,Stolz_DessusHaie,1,undirected
Malot_ClotildeMartory,Gaboriau_Lerouge,1,undirected
Malot_ClotildeMartory,Malot_Cara,5,undirected
Malot_ClotildeMartory,Malot_Ghislaine,4,undirected
Malot_Ghislaine,Gaboriau_Lerouge,1,undirected
Malot_Ghislaine,Gaboriau_MonsieurLecoq,1,undirected
Malot_Ghislaine,Malot_Cara,6,undirected
Malot_Ghislaine,Malot_ClotildeMartory,4,undirected
Maupassant_BelAmi,Maupassant_PierreJean,5,undirected
Maupassant_BelAmi,Maupassant_UneVie,6,undirected
Maupassant_BelAmi,Zola_Nana,2,undirected
Maupassant_PierreJean,Maupassant_BelAmi,5,undirected
Maupassant_PierreJean,Maupassant_UneVie,3,undirected
Maupassant_PierreJean,Zola_Nana,1,undirected
Maupassant_UneVie,Flaubert_MadameBovary,3,undirected
Maupassant_UneVie,Maupassant_BelAmi,6,undirected
Maupassant_UneVie,Maupassant_PierreJean,3,undirected
Mirbeau_AbbeJules,France_Thais,1,undirected
Mirbeau_AbbeJules,Mirbeau_JardinSupplices,4,undirected
Mirbeau_AbbeJules,Mirbeau_SebastienRoch,6,undirected
Mirbeau_JardinSupplices,France_Thais,4,undirected
Mirbeau_JardinSupplices,Huysmans_ARebours,1,undirected
Mirbeau_JardinSupplices,Mirbeau_AbbeJules,4,undirected
Mirbeau_JardinSupplices,Mirbeau_SebastienRoch,5,undirected
Mirbeau_SebastienRoch,Huysmans_ARebours,3,undirected
Mirbeau_SebastienRoch,Mirbeau_AbbeJules,6,undirected
Mirbeau_SebastienRoch,Mirbeau_JardinSupplices,5,undirected
Mirbeau_SebastienRoch,Stolz_MaisonRoulante,1,undirected
Ponson_Breda,FevalPP_CavalierFortune,1,undirected
Ponson_Breda,Ponson_CordePendu,4,undirected
Ponson_Breda,Ponson_RocambolePrison,5,undirected
Ponson_CordePendu,Aimard_BanditsArizona,2,undirected
Ponson_CordePendu,Ponson_Breda,4,undirected
Ponson_CordePendu,Ponson_RocambolePrison,6,undirected
Ponson_RocambolePrison,FevalPP_CavalierFortune,2,undirected
Ponson_RocambolePrison,FevalPP_ErrantsNuit,1,undirected
Ponson_RocambolePrison,FevalPP_JeanDiable,1,undirected
Ponson_RocambolePrison,Ponson_Breda,5,undirected
Ponson_RocambolePrison,Ponson_CordePendu,6,undirected
Stolz_DessusHaie,Malot_Cara,1,undirected
Stolz_DessusHaie,Stolz_MaisonRoulante,5,undirected
Stolz_DessusHaie,Stolz_TresorNanette,6,undirected
Stolz_MaisonRoulante,Mirbeau_SebastienRoch,1,undirected
Stolz_MaisonRoulante,Stolz_DessusHaie,5,undirected
Stolz_MaisonRoulante,Stolz_TresorNanette,4,undirected
Stolz_TresorNanette,France_CrimeSylvestreBonnard,3,undirected
Stolz_TresorNanette,Stolz_DessusHaie,6,undirected
Stolz_TresorNanette,Stolz_MaisonRoulante,4,undirected
Verne_ArchipelFeu,Aimard_TrappeursArkansas,1,undirected
Verne_ArchipelFeu,Verne_DeuxAnsVacances,6,undirected
Verne_ArchipelFeu,Verne_VingtMilleLieues,4,undirected
Verne_DeuxAnsVacances,Aimard_TrappeursArkansas,2,undirected
Verne_DeuxAnsVacances,Verne_ArchipelFeu,6,undirected
Verne_DeuxAnsVacances,Verne_VingtMilleLieues,5,undirected
Verne_VingtMilleLieues,Huysmans_ARebours,1,undirected
Verne_VingtMilleLieues,Verne_ArchipelFeu,4,undirected
Verne_VingtMilleLieues,Verne_DeuxAnsVacances,5,undirected
Zola_Germinal,Flaubert_Sallambo,1,undirected
Zola_Germinal,Huysmans_SœursVatard,3,undirected
Zola_Germinal,Zola_Nana,4,undirected
Zola_Germinal,Zola_Oeuvre,6,undirected
Zola_Nana,Flaubert_Education,1,undirected
Zola_Nana,Huysmans_SœursVatard,3,undirected
Zola_Nana,Maupassant_BelAmi,2,undirected
Zola_Nana,Maupassant_PierreJean,1,undirected
Zola_Nana,Zola_Germinal,4,undirected
Zola_Nana,Zola_Oeuvre,5,undirected
Zola_Oeuvre,Huysmans_SœursVatard,1,undirected
Zola_Oeuvre,Zola_Germinal,6,undirected
Zola_Oeuvre,Zola_Nana,5,undirected
